"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
112336,107106,182546,100993,84814.2,159066,50003,0.579619
100516,89791.7,184171,93648.7,80018.8,152177,66730.1,0.591486
130426,122417,201201,99039,81626.9,155890,64651.4,0.597511
83139.1,81850.3,172130,58067.2,49552.8,141859,10810.3,0.615159
114008,105923,189767,108905,94166.3,158770,47298.8,0.620468
84232.1,86740.9,163417,68443.1,62363,148437,27047.3,0.630447
116665,104212,189126,87636.4,73346.3,152191,21187.5,0.630635
132090,109817,195955,112569,87668.3,168775,18838.2,0.632535
137110,131150,197610,117154,100410,162021,50334.6,0.636632
94717.9,91682.8,172250,83327.8,74136.5,146241,33114.8,0.6369
89387.9,81695,171387,120914,100756,158613,28999.6,0.658029
129445,114440,195144,92525.4,72390.8,157911,40663.3,0.663491
96535,94155.4,172904,75539.1,65211.6,146048,18804.9,0.667607
138313,117640,203126,110745,90201.5,160318,41607.1,0.672337
102404,104088,172767,79222.4,72425.8,148104,16625.3,0.694898
105180,97727.3,178651,66798.7,55446.8,148187,10713.5,0.71408
124972,108008,197036,117549,101447,161662,35941.6,0.720027
107567,101708,179930,95094.3,84431.1,151940,52081.6,0.723931
96147,92045.7,175746,81848.8,70522.3,147984,40075.5,0.732716
152813,136049,207532,135958,106427,167970,17918.1,0.742323
103282,99677.6,178517,93967.9,79181.1,155911,20471.6,0.744008
72960.9,76132.7,157798,57579,52850.1,142521,36181.8,0.752036
120540,107595,196750,94737.4,73832.6,160087,37808,0.753492
132200,114950,199023,113425,89620.5,163559,24281,0.778631
130590,119255,197000,83315.4,66605.1,155419,6935.94,0.784172
97401,93321.8,170575,110681,90031.2,160191,34485.6,0.805429
101770,89005.2,183678,85383.8,69373,149633,30591.4,0.810559
103462,102043,172779,86890.6,72544.1,152656,20383.4,0.818151
113151,96194.5,187108,85802.7,64675.3,163315,20275.8,0.81879
103354,104165,174491,65788.4,59297,145149,26404.3,0.837428
112468,114448,195250,93017,82911.6,152207,29657.6,0.846235
124039,119432,196092,114130,95512.5,158917,59523.3,0.846259
93904.4,93467.1,175498,75756.9,68662.9,144245,49025.3,0.850584
83258.4,85408.6,159705,61329.2,57847,140906,23883.4,0.855154
103403,101601,175305,85983.4,77418.6,152036,18341.7,0.870085
96035.4,97892.4,168853,79573.2,72936.1,149311,12437.9,0.876262
121231,111787,188892,95447.3,76051.3,162201,68389.6,0.888157
100917,101255,179296,62059.4,57087.8,141968,26087.7,0.892764
122731,110709,197804,83679,69567.6,155158,30074.6,0.897696
98675.3,97886.8,169437,77909.1,70170.3,145737,12170.7,0.905089
94684.3,92853.3,174688,69188.9,57967.9,144625,23855.7,0.908544
111555,106952,188953,89828.6,78469.5,151896,48733.2,0.969639
105818,104944,178437,88056.3,79455.8,149060,50801.1,0.971986
131375,114111,200456,114436,87132.3,166015,22825,0.97289
124840,123858,193441,88332.5,75633.3,153097,40526.1,0.975851
146043,132023,207786,121751,100271,162061,23997.3,0.982246
108173,100733,180082,120088,99211.6,164773,24930.2,0.983165
128104,119355,192951,118206,99924.8,159802,24392.4,0.984558
112895,106781,183907,92502.9,76266.7,155661,18081.4,0.989196
124735,115515,190751,113238,95264.4,159217,26031.2,0.992227
151542,132531,203518,134807,100271,173351,53984.2,0.997757
104897,106638,183872,85556.9,76516.3,149605,10678.3,1.00004
108013,105644,179871,90311.1,77877.3,151392,42152.5,1.00053
126494,115359,196226,85998.8,69565.6,154989,29484.8,1.0097
96278,95723.5,177859,61503.6,56381.6,142602,20835.6,1.01029
110782,94088.8,181118,83179,63499.1,158714,37444.9,1.011
97286.4,97347.8,179101,65842,59180.7,145369,17830.1,1.01103
87959.3,85763.4,174857,114182,105774,154840,30159.9,1.02531
119209,114662,192939,81751.6,68097.3,151384,35276.5,1.02685
109991,104642,178686,101499,87903.1,154474,37217.4,1.03774
76588.5,73768.2,159136,80368.3,70201.5,151355,12799.3,1.04466
112513,109245,189443,103013,87356.1,155432,42365.1,1.04876
108209,90596.2,182902,94217.6,77129.7,160484,13325.6,1.06265
123199,112242,189814,101208,82019,159008,37478.7,1.06278
116930,107330,181558,86725.9,69998.1,150630,55021.4,1.06466
99129.5,94185.8,189467,86030.6,76622.8,154619,30050.8,1.06552
104339,102885,179556,79996.8,68379.6,149449,70698.2,1.09014
97998.8,97508.2,174542,115877,99329.9,157840,35069.5,1.09049
138461,125772,203327,86532.6,66856.5,158198,46550.1,1.10015
100260,103043,176549,73217.6,66122.6,145477,36896.9,1.10518
88102.1,85112,168561,58884.7,50368.2,139167,18473.2,1.11226
108304,99595.6,181920,112147,91703.8,162157,34502.9,1.11617
80526.9,78266.6,165706,59827.6,55056.5,142297,10910.2,1.11692
125095,123174,198828,84702.5,72373.7,152051,17089.4,1.11713
76005.5,79027.8,159348,64877.2,60870.4,144812,34549.2,1.12623
98197.5,95657,171474,86109.1,78994.3,148904,42893.8,1.13142
159420,137894,216054,137332,103874,172032,23916.2,1.14797
94568.3,92125.4,168612,92283.7,82418.1,151734,27361.2,1.15035
142674,134244,203995,110210,89030.4,158919,36085.1,1.15998
148582,139693,206963,116920,96850.6,162865,37668.9,1.17086
124884,115746,196906,105141,87767.8,158987,69960.7,1.17854
119809,105859,189687,103722,82784.8,162017,16547.8,1.18
93193.5,91482.3,169866,67176.4,60645.8,145621,15854.2,1.18656
88926.7,92305.3,168723,71378.8,67799.7,144535,15049.1,1.18725
85421.9,88125.5,161850,93563,82127.7,152867,52509.1,1.19011
112814,112496,182159,97600.9,85553.7,152547,23856.6,1.19362
143027,121840,206524,108814,88065.9,164277,42818,1.19978
73353.2,75173.5,155863,69867.7,66244.1,143809,37782.2,1.20667
157209,141002,213154,119869,93513,168929,59929.5,1.20728
135052,127624,202457,105821,85846.4,159941,39567.1,1.21922
136105,122597,200202,107996,89009.1,160515,42463.4,1.22642
136565,125681,205745,130253,105467,162898,37127.2,1.23511
