"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
115599,107732,182668,103871,85643.1,155785,21648.4,0.00101613
141274,123270,198995,128982,96830.1,165796,3793.33,0.0073831
94634.3,97999.4,164856,83303.1,73383.8,144832,4055.22,0.00893558
97483.8,93942.9,170110,72498.5,64627.8,144923,1682.74,0.0143641
103881,92902,173639,97089.4,77412.6,156374,1163.71,0.0152914
87025.1,83890.3,162727,61660.7,54291.8,140848,11147.3,0.0155015
79075.3,78401.1,156230,75891.9,71536.7,143764,5833.98,0.020097
139937,118107,196623,110190,86536.2,161823,9444.77,0.0213039
123530,109857,186678,119396,107078,153546,327.162,0.0250996
88060.8,84498.7,158340,77385.5,65629.4,148724,3197.9,0.0257116
102654,98456.1,169533,86336.9,77324.3,148569,13477.5,0.0266485
93113,85609,170028,88812.3,74037.3,151063,7881.85,0.0275032
89768.6,92618.9,163004,79509.6,70089.5,145973,1540.05,0.029109
60211.6,65584.6,144596,52331.9,52885.7,132146,1156.17,0.029958
77947.1,76015.8,157912,81411.5,75075.9,145157,2033.55,0.0468593
68111.3,63148.4,147377,74844.5,66424.8,145606,1892.13,0.0536814
120822,104853,190400,122169,88809.5,165080,5026.72,0.0545898
103695,92052.5,176168,78450.2,64278.9,152754,5383.85,0.0552526
93055.3,91026.7,170220,98753.3,84974,152410,6669.66,0.0608156
94801,93515.1,166490,90882.2,76692.9,151119,5112.71,0.0619942
86518.3,84335.9,166400,82886.1,73318.6,147986,1815.67,0.0632629
71114.1,70234.3,152318,56439.1,52641.4,136251,8835.23,0.0653907
123211,112980,189364,99602.8,82548,158075,4617.8,0.0655135
98041.6,95897.7,169593,94496.7,82132.6,149061,750.1,0.0689726
112159,93115.9,182705,74445.2,54955.4,151813,1275.91,0.0693745
103767,101601,173514,98940.7,84384.8,151667,8246.71,0.0709735
94265.3,94655,162796,76373.3,65840.3,144378,6093.6,0.0787534
85208.8,80092.9,160333,91185.4,82365.5,145181,7120.09,0.0803496
80766.3,81173.9,162639,63030.2,60166.2,135605,383.894,0.0812547
67203.2,70946.4,150810,68803.1,67132.8,137694,5955.97,0.0819954
68100.6,71374.5,148563,67446.3,64865.5,141216,1596.44,0.0850599
109494,93416.1,183225,121648,94876.5,162463,5193.18,0.0858328
126345,118291,181960,114661,94735.6,158653,1772.88,0.0862384
81494.7,78310.8,161353,92569.3,82461.4,150738,4507.74,0.0875576
107162,99146.8,179840,105294,95718,148455,12183.1,0.0896615
92843.2,85843.1,172374,114816,95907.4,159561,4701.4,0.0957539
82988.7,80968.6,165010,61365.2,55475.5,140598,2271.44,0.100997
102821,95016.1,172833,86431.2,78520.6,143974,5126.76,0.10232
108881,102405,175192,95905.5,81133.9,151119,5257.47,0.103945
159394,125521,203504,162913,123823,169553,4855.61,0.10424
80839.5,77010,158210,56953.4,50636.2,137832,556.486,0.110611
73532.2,76940.5,154159,86224.1,86209,140894,10580.9,0.118043
111693,98323.8,175495,87577.3,67694,154981,3030.58,0.119675
69862.9,70898.1,151032,70039.8,62332.1,145857,6898.78,0.120456
86788.4,85195.8,159826,68879.7,58924.1,145900,4322.39,0.122232
94660,83632.9,172745,94898.4,75101.8,155433,8619.3,0.128947
74555.9,78116.7,153188,67731,63524,138897,7021.01,0.132467
91745.5,90080.4,165196,80209,73943.4,142010,8767.46,0.136662
131408,113243,196586,140517,105732,165691,10913.7,0.13759
80226.1,79749.1,154947,69626.2,63459.7,142386,1038.46,0.142229
63609.5,66842,143795,48530,46960.8,130801,2.1164,0.145431
104154,95211.2,176396,88928.8,77750.3,147696,4196.55,0.146588
101812,99454.3,175517,84789.8,72341.4,149045,3414.92,0.147799
66525.7,70915.9,148456,73539.6,70554.3,144709,1546.29,0.152736
94748.9,91210.1,165709,74460.3,65844.5,144827,12715.7,0.153124
79023.9,80182.9,159054,62906.2,57965.7,140873,3354.23,0.154232
120294,93383.4,189976,114442,85440.7,165770,5231.58,0.161575
90204.7,89255.3,165079,73214.7,64584.3,144349,757.329,0.173782
78427.1,79520.9,160150,71323.5,66479.4,144188,1918.69,0.175074
98688.1,91233.1,171902,80291,68643.8,149054,969.242,0.175238
89916.8,92277.6,164736,83819,75860,145250,3542.7,0.17641
84603.8,77995.5,166290,117602,103718,152765,13228.2,0.177823
94261.4,91614.5,166320,96868.1,82929.6,153936,12932.3,0.180603
79194.5,80096.3,159432,62211.4,59093.7,134942,23.1858,0.183979
76723.3,73179.6,154434,98514.2,89733.2,148424,5295.11,0.190892
119423,103163,186234,102793,87587.3,150788,10016.2,0.192176
87681.1,85194.7,167674,104344,92734.8,149014,12875.5,0.193118
105738,103021,177026,76638.2,70376.7,149842,12340.2,0.194839
98059.4,91305.6,175411,96681.1,82975.7,151165,118.719,0.197074
72206.8,73534.2,153417,59643.2,56124.2,137681,96.3187,0.200301
81516.6,80914.3,158380,70636.8,63920.6,145867,7786.97,0.203031
67571.3,67550.6,148937,57839.8,54674.3,135398,4830.08,0.203145
87301,85678.4,160904,71059.6,61195.2,144308,3325.27,0.206281
95706.6,98223.8,164585,68054.7,62761.2,138652,9078.28,0.208805
110773,101196,172554,98091.8,78239.9,157956,3814.12,0.211726
104807,97990.3,179124,102514,80382.1,158421,7431.05,0.217009
101242,87567.6,171950,93677.5,80996.7,152233,6490.05,0.217444
92567,83033.1,169005,131265,104013,163431,7791.98,0.217598
87548,82136,164874,90801.8,76842.3,147824,2603.59,0.223825
91201.9,90337.3,170133,88623.6,81030.7,148835,3030.81,0.223846
121705,114709,189120,100520,88864.5,150966,4367.49,0.22541
85213.9,85373.8,168285,67142.9,59405.5,145304,1430.62,0.226882
105401,106027,173206,68061.1,61342.4,139088,5337.72,0.22832
96674.9,95885.9,164937,79919.5,71609.5,145387,10496.4,0.234179
93880.8,96354.9,159457,88670.8,76936.2,148373,3374.07,0.236047
101540,92432.8,171835,133896,121833,157919,7093.93,0.23612
121880,109313,184761,128358,96753.7,162719,10960.3,0.240295
112122,104287,176962,73085.2,59887.8,151779,4490.16,0.240623
92356,90816.3,164937,70188.3,65890.6,141141,2614.12,0.242118
122181,109414,189610,123568,112359,155517,11157.7,0.243387
78465.4,79200.8,158167,66850.4,61838.4,143656,8311.91,0.244589
123238,110508,189099,98549.4,80691.9,156399,10002.2,0.24554
97442.3,99432.6,174521,81969.8,73631.6,144054,5899.99,0.251609
68172.5,65488.1,151851,78275.8,69616.6,146142,1350.28,0.255207
81730.7,82757.7,163087,81112.1,74748.4,145240,1538.06,0.26501
119993,107800,189096,100512,79144.5,161764,7259.17,0.27232
83308.2,79016.8,159648,63103.2,54084.5,140987,2771.99,0.27936
83728,86920.4,164751,73044.1,65993.5,138807,576.638,0.286651
76931.4,77099,155612,85716.1,78208.4,147716,6077.07,0.287634
82252.2,84975.9,159373,73840.9,70451.9,140396,1029.2,0.290965
83640.5,83901.3,158714,81925.3,77238.7,144732,13645.6,0.295598
99663.4,85598.4,172581,96526.4,82554.2,155109,5032.77,0.298723
83232.2,69654.6,166105,92583.6,78088.6,151153,4233.83,0.29969
102056,96383.2,177223,98407.3,88770.9,151658,16267.7,0.309112
87577,87923.9,163294,60838.8,55514.8,137739,4682.19,0.311711
79526.9,78613.9,155985,63152.8,56828.7,140605,2153.2,0.31422
101416,94115,174412,82958.4,70585.3,150827,9674.17,0.316313
114847,106891,177161,96528.5,77550.5,152488,116.148,0.322044
99917.3,92937.2,168278,107780,86924.8,156349,9543.31,0.335041
138785,108923,199385,156305,111375,172192,4342.77,0.338962
