"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
119241,112839,183374,92427.5,76438.4,155661,830.392,0.375121
73649.7,75436.1,159815,42999.1,40777.9,124350,1237.5,0.38334
71805.8,66955.5,165440,66949.1,61869.7,142632,2792.24,0.384775
110846,99671.2,184041,89883.4,72756.5,156003,2382.28,0.387999
88206.2,89943.5,173212,66771.2,60740.9,141683,2232.23,0.389408
121190,114263,184332,71095.7,63057.4,143569,8851.77,0.403773
76928.5,76995.5,158288,78299,74161.5,144318,2605.54,0.414743
101169,99737.9,182494,70792.6,61400.1,144086,559.152,0.416463
83178.8,83395.2,163031,61986.8,57531.8,135800,888.001,0.424051
107002,108691,184311,61495.5,57253.1,136650,5398.4,0.429925
147573,131978,203106,95901.1,72175.9,156168,770.432,0.43394
114944,93342.5,190621,122277,92046.3,165144,1465.63,0.436037
58029.7,55027.1,144968,53186.4,46999.5,133530,866.222,0.436192
98546.3,86278.1,175797,137797,117220,160304,12817.8,0.45066
109701,105571,186656,79924.7,72876.9,145353,4525,0.453486
76195,76407,161757,46151.6,43958.7,132018,236.23,0.461371
139176,122869,200923,98250.4,77458.8,156293,332.535,0.474736
100631,92756.6,186980,101954,88483.5,149147,17766.1,0.479567
83000.8,81927.3,165669,60087.9,53084.9,139027,255.821,0.480395
92571,84198.7,177201,118447,100036,157294,2714.43,0.485009
86899.8,87010.2,167866,57825.8,51319.7,136300,713.41,0.492453
70326,74656.2,156262,58770.9,56842.4,136495,674.145,0.499457
118878,106915,192609,78741.9,63186.6,151285,385.295,0.501541
92089.3,92293.6,168355,63598.2,57155.1,139745,162.157,0.506255
89101.3,84712.1,173642,63484.1,57627.2,137915,483.58,0.509604
106484,100643,186564,67184.8,59937.5,143168,8185.22,0.509725
104699,102652,186304,61604.6,53729.1,140523,2583.58,0.513379
109243,103290,179805,94717.8,81952.8,152658,2136.53,0.515743
94254.2,95115.9,176054,72210.5,66524.8,141693,139.191,0.525021
121938,111737,188254,119152,101370,157964,573.159,0.525242
102045,97404.8,181476,69551.3,61220.1,143973,2870.95,0.526575
