"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
107175,101804,185968,123396,103714,160200,55408.7,0.00535733
88415.2,83468.2,168473,97117.6,84039.1,158277,35712.8,0.00753113
130490,105229,204319,140888,107833,168554,27318.7,0.00758196
99250.3,94891.5,174996,87564.1,75252.4,155013,18561.8,0.00909563
106537,98060.2,183993,68233.6,61189.7,142374,15916.1,0.011281
100936,97571.4,175596,72060.8,62236,148132,26901.4,0.0114841
142628,134002,207433,86824.3,74160.5,153366,36840.2,0.0140259
128448,105072,203446,137034,101600,172683,59494.4,0.0163559
135948,111841,203532,86329.2,66047,159378,32211.1,0.0202672
110968,108422,185985,94568.2,81601.6,155061,61909.6,0.0211205
107743,107525,188348,92335,80656.7,151334,23610.8,0.0358658
102535,101451,178786,88500.7,74882.8,156200,8636.87,0.0372034
84880.3,86877.7,166389,53820.1,50161.6,137899,46555.3,0.0439723
92094.8,95668.5,172714,67961.4,61868.3,143572,40812,0.0447613
130130,118400,197386,88074.1,71207.8,158573,16845.4,0.0464747
90046.2,91785,173605,74358,68532.5,147428,42860.8,0.0504061
90669.8,97636.2,164598,56667,56665.9,135909,24888,0.0580575
98840.7,98946.5,176827,75982.3,69486.2,148288,9333.77,0.0610869
95406.6,97900,165952,63356.7,59122.7,140996,3882.8,0.0622384
115748,107895,196820,103403,86406.1,160163,15202.6,0.0654497
94829,92948.5,175160,93112.9,88193.1,150693,54891.1,0.0709993
97168.6,95616.5,175989,68126.3,59462.3,143464,13986.8,0.0716641
89641.8,87403.8,171217,64846.2,56793.6,142251,16163,0.0804676
106759,108951,182369,68960.3,64086.9,146081,28344,0.0862515
106393,104332,183234,69177.8,58379.4,148240,19475.8,0.0955205
94097.1,96758.5,173689,71512.8,63426,147527,13183.5,0.100275
123025,102259,204131,94058.5,75764.6,159042,50352,0.103831
65854.9,69182.5,154424,53949.4,51293.8,135837,9944.65,0.104627
112811,111670,179001,88541.1,75429.4,151540,49866.4,0.107225
127234,116929,200687,102424,87661.1,159040,27571.2,0.108638
110310,105103,181470,97759.8,85836.5,153022,52385.5,0.111041
109300,108951,188111,100288,92060.7,151896,22350.4,0.111278
89025.8,83356.3,173137,84751.1,77827.6,148531,23984.5,0.112991
98154.5,91925.1,173371,88661.3,76855,152335,17959.6,0.115565
116466,103508,191748,84875,70327.3,154793,27041.6,0.115954
90321.5,91917.3,177112,65333.9,57516.2,141584,14238.8,0.116647
93564,79690.3,176931,90571,75894.2,153332,28895.5,0.117763
90985.2,90000.7,172916,69622.1,62717.8,143673,11056.6,0.117999
103033,99307.4,176493,113517,101461,154655,18621.2,0.120306
124639,119168,192631,77435.4,67162.5,147949,19847.8,0.122485
143701,132702,205687,102631,81132.1,160594,26213,0.124936
80047.9,81580.9,161538,69460,63572.6,148560,22310.5,0.127368
117539,108513,197306,130370,105820,165457,37859.9,0.133031
98874.4,98330.7,182166,91370.3,80219.2,155533,20435.8,0.143785
100643,99044.4,178235,79837.9,74041.5,147468,17841.5,0.161108
109464,108505,179901,75855.9,66359.1,148331,47234.9,0.164795
88724.7,91167.6,168674,64497,60418.7,145300,23721.5,0.186143
127097,107460,198760,108887,79001.6,169418,37705.4,0.198351
128846,125687,202331,101025,87015.6,155547,23195.4,0.201751
131793,127338,192082,93712.3,76753.5,158229,27495.6,0.203076
104899,103868,176968,90006.3,78257.7,151903,42837,0.210162
85505.3,81507.5,169920,81868.3,74625.2,149401,39529,0.21097
136155,126031,203596,126665,108979,162571,68324.5,0.237215
107175,101423,182350,82947.5,73741.4,153547,56299.7,0.238835
96242.5,91271.4,170172,80369.7,71502.2,152526,13702.9,0.242075
133127,104736,202653,138719,95468.1,176821,59782,0.243828
122615,121905,183424,129412,116073,157168,529.773,0.243978
110320,101858,180924,102294,88768,158211,24577.6,0.245644
76430.7,72150.6,164494,48061.9,41071.7,130939,14987.5,0.251607
131298,117860,202936,100962,82738.3,161524,32754.3,0.252272
115305,109871,192579,108837,92578.5,156408,15161.2,0.258417
109789,105448,188742,87316,70836.5,167863,27104.9,0.263587
