"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
146906,116717,215209,153777,112049,176450,18309.1,0.444856
132191,118024,205397,172430,138433,175894,112966,0.523806
108723,100845,193413,120654,114880,159364,8118.74,0.877486
111697,105726,193547,93761.9,81503.2,158034,50952.2,0.897671
160249,135033,213932,187964,130362,181961,82188.8,0.897825
92693.1,100924,173804,90361.4,85728,151883,20685,0.927533
140396,121783,216727,108883,90818.6,158641,2135.14,1.00114
95840.3,100273,185523,83957.2,79879.5,148655,335.323,1.15656
135649,106501,201673,194975,139130,184393,3883.49,1.35458
124913,118736,203118,155988,136606,165792,3126.3,1.64692
126191,120345,195467,110322,95501.3,161332,31618.3,2.00654
101597,98882.5,189941,139971,133510,160649,5755.54,2.0275
120839,119750,199675,99388.5,87728.1,155761,121662,2.76896
139767,132726,208001,127604,109039,164788,15983.4,2.99052
102413,89042.5,189721,142093,110814,172525,43814,3.0294
129004,124634,200561,118916,107738,156360,8912.62,3.25058
164987,138440,223679,145504,115145,173419,49870.7,3.2757
165499,136827,220795,175335,128028,177328,41978.9,3.33345
81703.2,93148,174889,101949,102208,150559,6880.7,3.44727
119675,119655,199650,97340.1,82956,159732,34089.4,3.49993
70554.5,69774.1,166318,111983,97371,166868,37177.8,3.66871
107366,107452,191658,130722,117778,162757,39843.7,3.77712
160288,153634,218047,181112,136646,172679,21225.1,3.84886
139302,140978,209384,132547,113350,162858,500.723,3.93412
123136,97796,207556,150904,107321,176865,69271.3,3.99578
100199,97628.6,183826,119025,119608,156279,12706.8,4.10028
99262.8,96750.5,188453,151351,128018,166514,16930.8,4.1761
126764,130337,199511,127194,119649,159577,616.438,4.21177
120239,119582,196663,119243,100970,161726,13067.3,4.52512
155290,127477,218345,152284,125735,173720,99011.9,4.54833
125863,120433,200410,128632,125636,157793,389.768,4.62704
149550,120489,224403,173075,126319,183273,3160.04,4.70109
115296,116234,189920,110231,97655.5,159703,34770.9,4.87592
74302.8,69259.9,162717,143607,126556,170592,12799.3,5.01771
76036.9,76688.7,173205,99855.6,98569.8,152547,25049.9,5.03063
100326,107056,184698,118948,117276,157781,1215.26,5.93659
105959,100895,190011,134353,109385,162633,19285,5.96329
152842,126168,216230,146340,114740,175051,65916.4,6.03473
132646,132731,207583,142918,135054,161957,9307.71,6.26663
122833,115870,195984,132856,114253,162427,28310.4,6.26881
106467,90766,193904,136283,115264,165715,40893.5,6.32173
101701,99249.3,189193,133673,126908,162300,7956.25,6.35183
153302,134954,217680,141678,117450,172010,14518.5,6.36206
156421,131230,213484,156059,116109,176512,70092.3,6.61324
105881,99767.9,188510,108010,91225.8,157592,37672.3,6.83027
144936,133116,212897,144826,112794,171829,39856.4,6.84603
144410,125119,219612,164878,122575,173734,187123,7.10895
115487,98080.8,193263,130541,107381,167510,13149.7,7.36022
109374,93774.3,195691,146973,121512,167956,39714,7.49138
151201,126346,210490,188533,127174,182405,62729.6,7.87019
134009,120025,214846,121202,97305.7,162461,7459.48,7.90412
89963.6,90526.7,175106,134969,121892,162312,52551.7,8.2432
107550,109457,194470,119681,111045,155042,666.631,8.46312
117140,113363,189322,117845,101893,161711,29143.2,8.62808
111805,113555,189250,100780,90432.5,158122,21327,8.68325
154363,148014,216172,123390,101874,165711,311.421,8.78485
118664,114094,196946,104403,86766.5,162131,2196.21,9.03159
129009,125258,202921,122695,109047,161696,2102.78,9.09783
167327,133362,224157,181183,143639,179884,9246.27,9.30545
110693,106318,181886,105005,92818.9,158411,4597.27,9.44428
115202,112916,186944,109279,97955.7,158998,7510.47,9.66479
160126,133483,218697,145102,114454,176117,49186.4,9.90315
150293,146753,213660,128085,112993,165293,1669.99,10.0622
110294,111143,189270,121511,109290,157648,1814.99,10.6766
77605.8,82217.2,168876,67048.8,71004.9,141628,3713.7,10.6969
82971.9,75417.7,172186,150548,130758,169509,84837.3,10.8986
109501,112144,193359,104519,99366.4,153499,2022.26,10.9071
88375.7,84047.3,175939,163578,140309,165165,2291.59,10.9922
130837,120281,206031,123121,102907,167184,9753.16,11.0795
121693,106957,199775,171339,143538,174774,14073.4,11.1085
102569,88288.4,189828,147179,120313,172217,70195.2,11.1656
90328.3,87916,176976,91732.7,77829,157429,18606.1,11.1994
120194,115489,199446,123360,107392,159878,39351.7,11.3693
130726,131413,200301,133546,113701,166066,6268.05,11.389
88172.3,77424.7,183141,78224,67750.9,158177,4385.62,11.543
126054,117426,204171,155916,133917,170926,13652.2,11.92
130505,126485,201670,152065,138968,163047,7448.32,12.1586
137810,121364,213426,127843,111389,164942,14757.5,12.1727
