"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
97627.2,105626,187183,63396.1,62137.3,141330,8451.43,0.467698
86009.7,93459.9,167746,85336.9,76010.9,155149,10026.7,0.470996
130395,125893,200066,86248.4,74957.9,155425,9894.45,0.473474
140761,140606,197353,119353,95983.4,161959,8656.16,0.478868
116317,108415,199000,71214.4,59214.5,151454,2524.32,0.48042
152830,123652,212727,149353,102822,182218,15656.7,0.480491
105420,108788,184137,85935.3,81636.4,150724,6466.28,0.48152
82076.7,81743.3,174870,72364.5,65370.2,145299,2502.95,0.484336
176943,144322,229522,170782,130221,179165,32707.7,0.48542
97177.9,107275,182330,88620.5,84865.7,149982,12652.6,0.485684
112521,114332,199351,113736,107686,156076,3248.43,0.486399
101967,105084,186039,89309.2,81972.4,152585,3778.56,0.487063
93743.1,99488,174457,81430.1,74038.7,151606,6472.11,0.489546
149954,124915,220657,169440,122403,181944,4272.83,0.490169
140000,120380,208512,164743,117393,178719,59656.4,0.506486
124697,111843,203606,102973,75180.3,168941,4194.14,0.50847
128010,125872,203089,96388.5,83121.8,159821,3455.57,0.511208
105853,101397,196128,83635.7,72044.3,154656,5008.18,0.520901
132437,118145,207046,113494,91869.3,168268,14544.9,0.528286
93349.6,100583,182475,85795.3,83642.1,149123,1011.53,0.534797
98162.6,106987,179628,93371.1,91365.8,154642,2790.73,0.549835
73044.4,79706.9,160325,102909,98443.4,152926,5433.97,0.550699
110813,107495,195849,86728,70585.6,151176,13604.3,0.551617
71375.7,75708.6,162350,76538.3,77252.6,143882,2006.1,0.552374
122590,120562,198081,127573,115058,162577,3583.78,0.554314
142268,123934,207819,154476,119526,172359,10999.2,0.555456
148326,129009,217520,130905,101435,172836,12793.1,0.558577
131536,118525,218169,103215,76183.6,168626,2382.11,0.560231
134762,122876,224689,102585,80033,159715,4464.1,0.561498
104683,102196,198951,108836,93385.6,162377,15463.2,0.563166
148007,144520,213174,109137,87182.5,162599,37256.8,0.565117
127946,121761,203873,119991,103180,162967,6339.11,0.566398
111969,114815,195954,98343.6,83751.3,155382,2328.42,0.566888
110566,113141,187276,81605.4,70253,153007,2664.86,0.567764
120169,120707,199300,83528,75798.5,156570,6277.84,0.574247
125732,118187,198935,102341,88840.4,160716,6232.73,0.576074
82643.8,87856.5,173457,98792.8,88787.1,152440,8604.47,0.578921
148344,145116,206162,153171,126758,168793,5760.75,0.580633
80174.3,88414.6,177095,74737.5,75049.8,145348,1156.06,0.585974
127599,125974,199778,112613,94207.2,157575,3258.51,0.590687
143966,127310,216669,115469,91833.2,165332,14105,0.591493
88673.5,97247.4,169096,60903.5,59757.1,138866,2225.36,0.602723
152391,135751,213126,124403,93841.6,169305,14172.4,0.615304
110005,103993,194346,77059.8,63668.7,151927,4931.83,0.62926
120898,124783,193223,84756.5,73982,148562,16941.6,0.635502
141645,118368,218050,132535,96136.2,175898,7409.2,0.641675
121269,116273,200064,70856.8,60860,148273,12061.8,0.643459
167300,145860,221684,152903,103599,177614,34796.4,0.65099
75244.6,78065.1,165356,80071.4,77094.5,149384,6580.96,0.654197
122990,119166,197463,113689,99002.1,159799,833.455,0.657553
97435.8,96062.9,174518,80678.1,70272,150929,11234.7,0.681715
92278.1,92265.5,188820,76878.3,75484.7,146508,3455.66,0.683482
118060,122355,195800,83524,75714.4,154587,63343.6,0.685532
87181.3,97336.4,181397,84488.8,83821.3,146662,10015.7,0.696857
116695,121345,196847,89611,84910,151925,11086.2,0.728424
108133,112238,189355,112197,101922,157945,8859.51,0.731649
98851.1,105892,189817,75000,71091.4,145837,3513.51,0.736677
171649,138031,227024,119163,81968.1,168006,38331.9,0.739018
100766,105152,185604,70709.1,64145.9,149257,1129.45,0.741206
128412,113084,197616,104167,81824.9,162368,7230.76,0.749043
