"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
93709.3,92424.5,176658,72950.2,68267.5,141701,548.534,0.00355775
89294,85265.8,176641,63575.7,55048.5,143649,987.948,0.0208763
96165.5,97625.6,175474,79900.8,75408.2,141241,175.278,0.0219913
140001,118345,203907,101777,79042.4,159579,273.787,0.022112
76107.9,78181.8,159214,66357.7,65558.1,137287,2218.99,0.0253022
67445.9,70962.6,152312,60119.8,60406.4,133562,2331.99,0.0275887
101163,105100,174968,65844.3,57509.5,143733,1070.45,0.0287823
88799.2,90212.9,172340,114401,104476,152283,997.482,0.0299372
87667.1,85543.9,165316,67923.4,60892.6,144710,512.477,0.0322609
71355.9,71646.9,153213,75492.4,70331.2,145409,4499.87,0.0331968
134902,117245,196068,102911,84057.9,156316,1937.58,0.0363198
111484,94101.6,189422,97245.5,83177.5,152265,10114.2,0.0435458
93489.1,90844.7,171093,122684,100980,157955,1377.8,0.0440798
111299,106187,186115,83957.6,72694.9,144418,7238.66,0.0462527
74999.3,76103.3,160042,44893.2,46400.5,126222,104.533,0.0468872
98440.6,91573.3,175079,77837.8,66702.3,149374,457.698,0.0473195
89147.2,89483.4,162619,101140,90096.2,151107,3845.16,0.0480281
93831.2,93771.2,172209,82127.5,75055.3,144787,618.976,0.0493361
88671.5,85785.7,170508,102537,89869.1,151554,1204.56,0.0586901
108101,96736.6,179959,79190,64556.1,154804,3097.86,0.0609807
138294,126898,200868,108475,94848.2,153122,10017.2,0.066088
92652.2,90178.8,175910,80706.5,68899.7,152707,7358.03,0.0690609
117406,107385,186961,122106,107369,158838,965.356,0.0717485
93304.4,85616.8,172389,86359.6,79256.8,147815,2539.11,0.0726125
108610,93608.5,179807,109577,94256.6,159518,1770.26,0.0762514
97051,90895.3,172848,83831.9,69512.5,151057,10356.7,0.0875956
101758,101419,181847,65672.8,57546.4,138280,3996.12,0.0938758
100192,90316,178312,132022,108538,158770,852.893,0.0954829
107582,103747,179568,70803.3,63451.9,145113,182.653,0.0997242
108619,95440.7,184156,68070.9,54741.4,144138,364.753,0.116733
120827,109458,192944,93206,74345.6,151234,4072.52,0.124755
84221.7,85845.6,167672,77060.3,69610,144047,6003.69,0.127868
108092,104577,185532,79341.9,68417.1,144234,4141.25,0.129929
93037.9,93251.1,179730,76220.4,65480.1,144506,1910.33,0.132865
133634,110028,201524,176597,132917,175315,949.677,0.133362
118011,106492,186355,131482,108050,160724,1527.99,0.144119
80363.3,79378.7,168277,60270.8,54669.4,137727,141.702,0.14475
76725.4,83222.9,159865,67913.9,66426.1,138014,108.939,0.146406
84424.4,86057.1,169251,69000.1,65177.6,141056,367.745,0.150271
88481.5,87202.6,173388,74345.3,65684.2,144847,1901.12,0.153727
86060.4,86804.7,161316,69335.6,63560.7,141159,807.8,0.162568
122324,114048,197629,128136,112264,154933,3490.87,0.162976
96200.4,94194,172901,105029,95259.5,147413,772.375,0.16531
143926,132592,199388,127083,102835,163767,1980.19,0.169346
123772,111613,199999,88784.2,77681.7,147885,310.417,0.169998
87055.9,84549.8,169455,106432,103231,146401,883.573,0.170023
126529,105197,199959,123789,102154,156489,328.228,0.170458
87767,85728.7,172748,68033.8,61201.1,139465,4115.72,0.17093
119375,111222,181688,111304,91232.6,155905,5828.96,0.171088
106923,99947.7,183098,109239,87015,158831,667.322,0.172441
116107,105844,189821,94243.3,77096.4,151255,13147.2,0.175227
81817.3,82181.5,167516,82203.8,77530.9,141244,2544.76,0.196934
89480.9,84374.3,169657,65575.4,59530.2,141677,176.846,0.197591
64934.4,62687.3,152102,75948.7,71187.7,140964,5478.61,0.198035
119003,107559,193052,87030.9,71659.3,150507,935.625,0.199767
83076,85197.8,163581,71538.7,68831.9,138686,8284.85,0.202653
85300.8,86061.2,162232,60533.1,57031.7,135591,731.258,0.225514
126049,115035,195756,100078,79635.5,153183,3315.38,0.227337
106170,102524,178983,98041.9,85514.1,150446,9654.1,0.229476
71312,72349.9,154915,67976.2,64181.1,139185,639.67,0.230965
91705.2,89489.4,167292,63402.1,53203.2,142107,294.99,0.238232
103910,100684,176763,83847.6,74415,142583,5137.15,0.238296
87792.6,89315,163728,67174.2,58237.4,144623,6932.08,0.241462
67496.6,73555.1,148608,76949.6,74563,140747,593.853,0.245237
83198.8,84478.9,159021,91338.4,81063.6,146094,3388.26,0.246261
97303.6,93027.3,169266,79682.5,70889,144182,1665.62,0.249322
94092,88305,175876,66683.5,58940.3,140169,81.5882,0.253558
73922.4,74250.6,157192,66464.8,62708.9,137777,352.808,0.254435
119152,100307,192297,124587,104005,159950,178.598,0.254907
104838,103702,171790,86473.3,77864.8,145972,78.1455,0.264624
85580.1,82456.4,165968,72758.9,65861,138921,8203.74,0.266385
82238,82429,161651,108776,95868.8,151299,1268.72,0.269637
91559.5,83412.2,169497,102390,82183.4,152202,137.283,0.273337
114918,101982,186338,77376.2,61231.7,153572,13754.7,0.278083
115261,106843,189873,91529.2,73900.3,150133,695.698,0.283915
89912.6,90527.2,164745,58889.4,54269.4,136061,155.118,0.288408
104963,101238,181824,100541,90901,149702,1469.2,0.289841
81109.4,84292,159997,76268,71306.3,142393,1310.79,0.293798
88138.5,88887.6,172482,52338.3,48657,126188,841.236,0.298291
84802.4,82798.8,169405,61829.9,58382.5,135667,14637.7,0.301861
95925.5,93208.6,169368,102550,90904.4,149435,6865.03,0.302726
133737,114127,200906,115248,90279.6,159578,3788.32,0.303541
93130.2,91057.4,165854,94432.5,83928.2,150441,2571.65,0.304187
142827,131435,198816,102204,85415.3,152312,3426.12,0.304488
116150,118067,184483,115948,108948,150116,9431.98,0.304528
104645,92986,183014,91023,75842,155634,263.369,0.304569
82851.9,82671.6,168824,99870.2,88574.5,152475,412.817,0.311005
109045,101178,177211,97712.5,80996.2,156001,3063.93,0.314876
130058,115822,196443,99638.4,82517.6,152138,2180.49,0.331797
112202,90606.2,187575,82822.5,68567.8,144896,2368.41,0.336205
129099,113674,197081,119125,100531,156032,1245.32,0.336702
85887.3,87973.3,165221,82999.6,75794.5,145044,1378.83,0.33991
88064.4,85791.4,168657,59089.9,53295,138731,1440.96,0.342236
97063.1,91233.4,172499,107887,97397.4,152710,4442.94,0.347484
101374,102009,169349,72893.2,66423.6,145289,4062.22,0.347551
