"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","Time"
112240,120079,183872,78960.6,89206.7,138717,60434.3,0.0190323
103658,108301,178910,63780.6,65373.4,138985,52010.7,0.0320848
102177,103768,176611,90379.9,97548.1,143699,83599.8,0.0517281
84644.8,88999.5,168040,73403.6,76011.2,143983,41979.6,0.0636586
100929,103775,183251,88580.1,93466.1,145978,61151.2,0.0820955
136052,135112,192123,99201.5,96405.1,153191,185202,0.102824
100448,102870,177061,83975.1,85406.9,149088,53252.8,0.141887
64017.1,68955.6,153013,48158.8,54404.8,133769,30070,0.168513
113953,109969,192914,81717.6,78434,151606,82928,0.20879
100068,106214,177470,90128.5,99391,144594,63128.8,0.211331
105803,104427,185567,96168.4,101696,148613,69669.7,0.222331
98761.9,99881.2,176907,83637.9,86516.9,148390,35073.4,0.236002
64053.3,69889.8,151810,65545,72395.9,138643,52798.5,0.244262
69876.9,74114.7,157500,68262.7,74110.1,141973,20100,0.261969
131356,131965,196477,101864,108199,149494,87448.5,0.293778
72199.8,82304.5,157867,46968.3,53698.6,131412,35506.8,0.307652
89181.7,93389,175018,64224.1,70791,141307,27940.8,0.315175
90011.7,96646.8,170323,71479.7,82194.8,137998,71034.2,0.336464
94566.4,99417.2,178478,69505.2,74141.8,138709,88713.4,0.345636
61625.7,68791.2,151202,47618.9,57430,128835,25476.1,0.347192
79272.6,82809,166492,52376.9,58246,131945,32806.5,0.347396
85523.9,84739.1,175980,88203.3,94755.7,148280,54837.3,0.366635
87023.1,96715.4,175310,50015.3,56304.7,134629,63684.7,0.367243
124366,122821,196710,100940,103478,152816,99811.4,0.382288
78038.9,84392.6,159836,74226.7,81103.6,142924,30523.8,0.394451
90329.1,93065.3,172425,101298,102563,152699,83291.6,0.427402
105989,103658,187501,80730.5,77691,152116,59674.5,0.540957
83854.9,87541.9,176088,60087.3,67759.6,134453,41567.3,0.565775
65110.7,73419.5,150893,63673.7,72458.5,140832,23977.3,0.576668
80526.7,88966.5,165277,62886.4,72942.6,135344,39829.5,0.624395
147208,134648,204356,116885,112660,155615,145628,0.624836
73654.5,82033.5,160325,45952.3,51121.3,131338,27160.4,0.664182
68383.9,74918.3,158127,59272.6,66579.4,137264,37138.2,0.724924
101800,105241,176623,65856,69947,142012,84774.2,0.735926
121714,124576,193600,91593.4,94275,148576,70169.8,0.764121
84853.2,90675.9,171483,56027.2,63431.7,128597,19519.9,0.774713
70012.9,77459.4,158011,55911.8,63991.7,135695,25116.3,0.781958
92649,97973.1,176944,75608.1,81092.1,142475,77368.4,0.798567
75989.9,85547.5,161699,63506.4,74903.6,137284,42132.2,0.80331
80988.5,86934.2,170371,73686.4,83104.8,140730,46795,0.827707
96690.8,101065,177519,84478.8,91632.9,144639,74226,0.939243
88102,88045.2,169844,86704.7,89302.1,147532,49707.4,0.962853
109111,109860,186854,86342.4,84888.6,150865,99635.5,1.02896
92353.1,96323.5,182786,66727.2,71939.3,141995,61750.1,1.05559
102241,105206,180344,53085.3,56276.3,138559,59515.2,1.05963
106615,107389,187574,77547,78582.2,145159,95598.1,1.09085
123659,122992,191904,82184.6,78217,151075,91219.1,1.14151
88170.3,93819.6,170299,92745.7,103001,146272,58952.2,1.14667
102576,109639,182084,86867.4,88456.9,149242,50433.8,1.16373
95940.1,103800,179069,65564.3,72051.3,138411,31683.9,1.16859
106283,105975,185368,80241.4,84540.6,146052,39822.1,1.20559
128835,125470,198378,105013,107387,155301,98072.1,1.24737
68327.8,76986,155839,67648.8,81342.7,133461,35236.2,1.30062
70139,77404.1,164806,38562.2,44081.8,125386,33013,1.30254
106316,111392,187015,107173,106789,151518,75720.4,1.31866
101465,101541,185367,77609.7,83494.5,144398,47586.1,1.32707
112996,115818,186544,72180.8,78435.8,142015,69716.9,1.36083
95497.9,93218.1,176232,72803,73290.2,146206,36368,1.37962
123923,127461,197080,73041.5,75107.8,145164,116762,1.39556
72386.5,78392.4,160113,51214.3,57017.6,131893,31777.9,1.52882
106443,114678,182690,80010.5,85838.5,144430,80723.6,1.56339
86631.3,90839.2,170232,73080.3,82383.6,141689,46578.9,1.58461
79500.9,87221.8,159575,90435.3,99832,145542,32531.7,1.59837
99910.8,103444,179347,105940,110855,151708,73786.6,1.61117
71448.1,80550.4,155894,34900.2,40467,114681,32060.7,1.63587
107781,110391,182867,70449.9,75401.1,138305,87909.9,1.65684
93589.2,93464.5,176755,74608.1,79660,145326,58729.8,1.66079
94803.8,96393,171330,78338.7,83530.1,145276,34942.5,1.6848
75060.9,80834.9,162317,47027,52582.9,131535,38083.2,1.77946
88153.3,94067.6,176187,47806.7,52034.2,130456,50914.4,1.81656
110319,104972,186508,97905.6,96528.8,151089,117177,1.81897
89449.8,92779.8,176711,78985,81984.9,144931,103287,1.81924
97572.8,101979,177130,70106.7,73818.9,144453,64596.6,1.84484
103663,105120,179272,75894.9,77849.5,144010,74312.8,1.86094
115258,113110,189156,106843,106026,152752,23518.7,1.87508
90341.1,95446.6,175399,44764.2,47719.2,130934,42585.8,1.87518
69028.5,76750.1,152631,46868.7,53808.6,132169,33986.2,1.88114
119059,112827,192874,114706,119060,154899,99108.3,1.88577
117792,118338,193762,62363.8,63614.9,137756,93822.5,1.8868
74239.5,76252.4,158382,53960.4,57331,137939,32115.9,1.89597
85994.7,92580.4,168415,71674.2,79139.6,142749,61823.8,1.91894
59114.3,63125.4,150981,48934.1,55592.2,133926,24147.3,1.92768
85745.5,91311.5,169317,51927.4,56932.4,135956,33997.3,1.94552
95765.3,87719.8,181432,46182.1,45980.8,141210,35300.7,1.94796
62016.2,68976.4,149286,51500,60750.8,133593,23348.3,1.95504
84187.3,90886.9,163228,61497.7,67222.4,141394,60144.7,1.9599
96186.5,103141,172114,54434.5,56691.7,139821,42574.7,1.96972
73149.2,78643.9,155581,66939.2,74038.8,141618,82361.9,2.00008
67143.2,75615.1,152187,42835.4,49029.2,131597,35750.6,2.01092
71153.9,76828.6,156468,76238.1,83226.5,143997,67032,2.02923
90881.7,94197.7,177125,67504.3,71023.7,138733,39289.5,2.03536
87694.6,90298.8,177447,71935.8,76143.7,145236,44981.4,2.04174
