"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
131627,115876,212878,107495,86031,163156,96392.4,9.56857
151877,137141,213201,163397,131010,172106,6858.33,9.60247
75083.5,75734.7,172970,75371.9,67757.5,148600,12833.8,9.61212
135071,134667,201458,141785,131971,163342,119427,9.65097
104451,98298.9,190499,107559,96342,157972,101358,10.0544
107414,99964.7,185968,101460,81655.2,165387,14022,10.1382
161860,158049,214247,138077,116190,164955,78844.2,10.3373
115874,107176,205940,116949,86339.1,169655,44999.4,10.6792
126236,115576,202472,118025,99651.5,159977,17626.9,10.7824
180651,144493,229652,173145,136530,179490,18307.1,10.787
129910,130218,200209,94387.6,86701.4,152253,45853.8,10.8969
107871,101816,203615,148346,128811,172172,23069.1,11.127
164142,152584,214430,134677,108970,169839,206913,11.3029
167878,159356,217925,141985,121143,168016,208421,11.3489
109624,108375,192974,128760,107398,168552,18207.8,11.3722
96408.8,93465.4,183160,81482.3,71564.5,155376,55322.4,11.4382
172187,147587,222988,141899,119376,169695,48815.8,11.4993
142536,123545,215889,179519,143329,181767,218732,11.6162
92646.7,90199,170200,131668,123510,162694,129251,11.6552
158661,146675,207045,172310,134980,177166,44436.8,11.7276
180044,147641,223829,186640,137035,182210,96448.4,12.1342
176243,125975,226906,203101,138984,190187,104928,12.1857
100384,82600.8,188323,160651,120416,176045,19496.7,12.3056
114169,109644,203054,134726,119907,165315,120333,12.3437
158458,128722,220814,195109,135063,182305,285348,12.6093
121181,111207,198476,113157,97454.8,163253,38358.4,12.7207
137650,124012,212590,105011,83534.5,159297,18241.2,12.7354
146998,109331,210556,152098,108860,187176,77885.5,12.7986
113248,112205,183571,110848,99113.3,159893,14691.9,12.8142
146234,134358,207901,145578,116045,170032,373816,12.8533
101174,103311,187570,86756.6,84007.7,155625,12830.5,12.8668
130480,121961,207733,141576,120395,165460,87456.1,13.2679
155956,145644,211794,163638,136808,174829,45782.5,13.2775
111758,106343,192109,127166,102598,169422,10546.6,13.2979
157207,130834,216068,155121,113357,179476,312065,13.304
178707,143132,224064,202085,134244,189831,146111,13.4143
116852,100653,196733,143303,105316,182209,131968,13.6848
76574,69946.3,169329,130538,113311,168754,12105,13.6904
123337,115349,193524,131680,111084,162901,27277.6,13.9044
92216.3,98430.7,168896,87577.4,83694.2,154305,23197.3,13.921
158579,131189,229174,151570,105448,179390,114983,13.9538
120924,94831.4,201046,150833,116388,180224,171282,14.0542
141954,104559,206521,154233,102800,179273,177211,14.0931
126170,105482,198676,119003,95718.9,169183,196577,14.2078
130461,136599,202711,97878.1,89984.6,155387,72227,14.3804
111668,96237.1,199537,119707,95917.8,165526,254841,14.3813
87787.7,90530.6,165342,134861,133683,159304,33379,14.518
162288,147079,217017,146012,120368,172202,153571,14.537
68046.9,77251.3,156230,69709,71905.7,140952,145708,14.8381
170689,134340,213048,175223,128076,186387,227060,14.939
119568,110206,197346,167788,138250,180695,58575.4,14.9883
137813,118506,205358,142440,118567,170061,45041.9,14.9996
117757,98042.1,203656,98910.5,80865.3,169476,73439.6,15.0389
78605.4,73635,176584,70046.5,61326.5,152171,208360,15.1551
131619,131726,200035,110639,96784,161521,9316.37,15.1827
63870.5,66402.7,157857,81592.4,82852.2,141970,51663.6,15.1931
128866,122663,202915,149941,117701,171879,54447.8,15.23
136231,133687,210010,114320,98838.1,159575,24100.9,15.4492
161781,145720,206275,165760,126959,176808,21540.9,15.6873
145803,138289,203615,144451,129405,167360,42602.3,15.7372
175163,141649,224657,149386,116362,182196,271541,15.7532
192603,146067,230762,196256,141918,185435,177949,15.7563
110183,110141,184162,121831,111252,159127,91233.8,15.8316
72640.3,75234.3,165342,103802,100525,152995,13785.3,15.8855
113641,109306,190201,185461,141484,179220,131510,16.0708
82590.3,87739.8,165427,100545,99569.8,151169,1002.15,16.1733
140520,123702,214158,120023,91601.2,167228,27824.7,16.204
113617,112218,184364,131128,123257,164627,38284.7,16.2484
120694,122815,189323,111378,99655.9,160470,24319.2,16.3155
171017,146140,215954,158924,119905,177295,421764,16.3368
63264,68752.3,158278,58922.9,62595.2,143510,62271.4,16.3701
114693,117821,193942,101116,95310.6,153310,65943.6,16.4787
115970,103384,199338,189044,140492,176239,17972.5,16.6907
96621.4,107432,189247,80254.4,82031.9,144802,51603.3,16.8227
188364,147956,232000,178389,123454,183589,189227,16.843
124030,122383,198268,99431,87352.3,172400,61593.3,16.9172
131293,117782,205693,87913.6,81643.8,148427,23192.7,17.2942
146725,136044,203912,131853,114137,162721,197965,17.4518
102072,99412.4,191522,85220.1,76127.9,151900,64564.5,17.6439
154185,141880,216062,108414,86369.6,162241,101162,17.9872
75027.4,75931.4,172894,97801,96355.6,153183,27501,18.0988
176715,139686,224071,186344,133909,184336,287990,18.1253
141755,121537,210173,145794,109211,169816,2282.31,18.2731
120519,110199,195834,120532,90046.1,170387,177798,18.2841
170896,140780,230194,166568,119370,182489,222004,18.3473
145499,127702,211801,155389,128096,173280,229380,18.5753
117230,104626,200606,128876,104998,165497,60520.1,18.6935
148830,127542,213215,156651,115443,175172,20905.8,18.705
167849,146826,223574,154222,129189,171914,133455,18.7838
176120,131611,217153,162228,115521,182185,178425,18.853
145254,134518,209525,136456,119760,165850,98645.5,18.8815
87682.2,94177.7,177149,100165,98830.3,152829,34631.4,19.0789
108802,109716,192733,105183,101154,151899,277339,19.2043
168395,139745,223085,192208,139680,182227,35692.6,19.2755
73250.9,77548.3,162368,80067.6,80402.8,146146,102711,19.3404
91562.8,98329.1,178988,80874.6,83878.3,142034,129109,19.4895
144651,135088,204307,165235,135318,168678,4135.12,19.512
143762,134387,210110,105529,86187.4,162928,19906.9,19.5789
157446,141962,219369,121597,103574,163360,1923.54,20.0326
116424,118456,187415,100060,93476.7,154135,4790.88,20.0997
134615,125921,206659,153905,133376,170149,121839,20.2093
172013,129858,230447,188137,140039,182140,96376.3,20.3457
123282,117053,193989,109283,94406.3,161482,183054,20.517
144510,117513,223412,206729,134408,183673,36723.9,20.6093
62004.9,64543.3,151928,92721.1,86656.8,151505,13643.9,20.9134
111249,104950,197738,144539,119606,168101,293003,21.0606
153709,134077,217306,152541,128722,168465,20528.7,21.075
107464,103913,196185,85952,75500.3,155745,373829,21.0757
136753,112216,214122,171235,134028,174989,158966,21.1083
91431.3,95481.7,172399,85004.4,75259.4,151896,122113,21.5849
172155,146014,224896,152017,108054,174995,147009,21.838
83482.5,71403.9,176141,96509.7,74717.5,162318,121421,21.9002
165407,148997,216314,153117,120416,174842,95687.3,21.915
