"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
122832,124219,202841,84435.5,72922.9,152111,6652.56,0.489291
115625,106411,194079,89937.9,78770.3,155281,11053,0.491496
151533,117397,218558,129138,92430,175414,84132.8,0.49257
121445,110232,196142,102492,79602.4,165543,6700.92,0.496566
110357,99973.1,192520,101272,75988.4,163013,10130.7,0.50527
99622.8,100947,190583,87298.6,82010.8,151350,486.394,0.514176
79927.3,89848.7,172411,61633.3,59627.4,139332,2234.9,0.514494
88963.6,98662.9,168865,82943.5,81379.8,149423,14425.4,0.516591
127287,117293,204191,149241,121751,172879,3450.91,0.520298
146080,129959,214043,121302,86854.9,172692,2279.35,0.520371
121321,107563,203096,125820,96660.5,168676,7252.88,0.52131
139530,137131,206415,106942,86219.6,162536,815.294,0.528567
126976,125265,203216,115838,96328.4,164665,565.411,0.533243
121886,131181,197394,105259,102533,155624,19471.5,0.533412
95186.2,101307,190011,83771.7,79193.4,150770,3460.41,0.535346
99825.5,105139,186766,78828.1,73311.6,150976,1790.79,0.535923
139936,134393,209877,155184,129248,169262,34000.4,0.53757
97434.8,99895.9,186691,72932.7,66784.2,148736,1936.24,0.540607
106449,103512,193313,91816,81889.7,154647,11284.9,0.546263
101998,94572.5,189915,128283,110426,160016,857.198,0.546615
140551,124418,214528,127731,95176.6,172128,9246.06,0.54695
110706,110062,195435,92556.8,79506.6,156102,12189.6,0.548225
89336.2,89852.7,184772,65853.9,62955.9,142285,5103.32,0.550898
114380,114243,202810,85826.3,81010.5,151185,1377.25,0.55386
146363,120379,214045,146328,103588,176651,45867.6,0.554956
116394,113496,196884,79552.7,67770.3,152734,8255.45,0.559124
152438,141525,211040,96888.1,83156.7,162146,36588.8,0.561093
104150,107660,189645,116385,95447.3,164857,4085.13,0.56191
109121,110857,182642,73989.9,63856.9,155974,3203.4,0.562391
108513,105960,192608,94825.1,80507,158769,8344.04,0.563738
86053.4,91137,162256,80416.2,73107.2,153148,715.866,0.564052
119040,112865,193452,103206,82905.2,165253,5985.64,0.567843
107727,100112,185758,72845.1,61254.1,152546,4521.87,0.568106
187832,143447,229551,123301,82655.3,176091,5457.88,0.571169
158961,141657,217117,122365,94594.8,172651,13205.2,0.572508
80927.4,81233.7,175559,75977.4,72048,145623,8295.18,0.574191
159086,135165,216102,171506,129232,182409,17125.1,0.575435
126076,115818,203648,113296,93973.5,163084,11460.4,0.579202
127720,119649,203184,131940,108850,170139,5837.68,0.579475
131997,119741,206535,110188,89607.2,162432,12440.8,0.580674
143008,140595,207219,123464,104662,167859,16924.2,0.582241
105281,102220,189122,86969.3,79072.4,152160,4852.19,0.582796
122002,122698,198387,103318,87942.1,161911,2359.2,0.585306
138808,137410,198730,120789,107834,162996,22252.9,0.586671
138109,114774,211042,174377,130731,179866,20428.4,0.587591
184299,149424,227307,210369,142133,189181,40781.9,0.587971
166031,135800,230736,153736,111862,176837,8622.63,0.588336
172610,156818,218004,103186,74408.2,169081,19321.5,0.589871
99279.3,108766,186566,73656.1,70695.9,145605,6882.86,0.590644
104915,95466.6,182862,134497,107679,171706,2596.09,0.593725
95413.1,100816,177323,70888,67315.7,148455,3116.55,0.595224
123697,111811,195835,116471,92525.1,162819,52434.1,0.602135
141466,119591,207956,103963,81804.7,171332,7036.23,0.602447
130524,112095,203717,142880,101045,180156,9536.81,0.605856
108664,103086,199259,105258,91188.6,157367,6607.66,0.607268
108681,105200,189147,118957,102292,161904,6738.95,0.608139
122142,125970,197009,82490.4,76936.7,152505,19958.4,0.609039
115682,118617,194112,97379.3,92700.1,152407,560.371,0.609566
123470,114539,196671,116073,91963.6,170682,3258.01,0.615117
115281,109615,198608,85341.1,73232.9,158294,11773.9,0.617531
110295,118225,189549,87717.2,82939.1,149397,438.995,0.620029
144441,128873,209547,90701.5,74453.4,159219,7450.69,0.625554
116980,120972,199836,125490,112489,160672,12670.9,0.62995
107180,110444,196211,70644.2,64284.9,155778,827.915,0.643757
159511,145098,217899,134277,102809,173204,63594.9,0.659847
134333,109315,207426,108045,77509.3,169360,7383.92,0.666933
101094,100748,196531,64133.5,54015.9,146396,5190.55,0.671224
79295.3,83963.3,162915,64189.2,64264.1,144760,7704.41,0.673036
107606,112025,186563,91988.3,83853,154915,2620.7,0.692553
123888,109363,204085,114455,85006,172382,11481.3,0.710837
147309,136965,216072,109206,89731.1,165005,10637.7,0.712664
108442,105901,189508,94459.1,79806.8,156242,4124.75,0.715707
60634.4,66676.6,152722,71924.2,75296.6,144868,18181.9,0.721207
88326,94498.5,167737,74532,72625.7,145808,5336.79,0.72196
109838,113028,189506,97688.1,86668,158458,4579.27,0.736389
146953,135368,210491,120678,100089,161278,51268.4,0.741563
101066,103837,185295,74495.5,63353.8,152242,2124.85,0.742687
131545,112285,205803,100965,78624.1,166304,2734,0.744118
73728.3,81345.9,160153,72875.8,73554.3,143586,577.949,0.746923
137980,122128,198950,141001,112201,173229,16352.9,0.752937
113284,119247,186565,83268,76996.7,153230,440.806,0.757133
104586,105932,176784,71944.2,64702.2,149238,9055.25,0.757288
102109,85448.1,195669,129324,90897.3,177156,20213.8,0.763988
82022.7,89414.2,171603,72026.5,67243.5,144660,2426.8,0.766473
95632.7,94199.5,181226,111309,96497.6,162473,787.635,0.768812
140376,125840,206106,103938,79789.8,164651,8838.48,0.768965
169848,151529,214199,147567,114042,175141,17307.3,0.771781
121932,116981,198814,112482,100675,162232,4882.18,0.773356
89550.2,95372,181409,87125.7,74770.2,152299,3006.04,0.777234
96785.6,98664.5,183371,86753.1,78809.6,153429,8880.01,0.778161
97565.8,94079.4,182385,109956,89499.9,168934,3748.4,0.7799
144635,118932,216454,175938,127706,187111,11095.3,0.781302
80098.1,86554.9,171557,74276.2,71103.9,148168,9666.56,0.782501
104297,96836,192242,123206,103209,164598,2395.69,0.78399
118977,110730,201459,161764,129560,176451,4735.35,0.787245
113053,113296,182244,118790,104571,161391,2975.51,0.813587
156987,120505,214315,181659,128581,190327,1515.25,0.815674
122587,124850,196644,106645,85069.8,159087,8591.93,0.82203
64439.4,63821,162038,77585.5,72086.1,149437,17280.5,0.829379
106398,105505,192595,74091.8,62534.1,150973,3854.66,0.83145
88570,89004.4,179507,99672.3,87607.4,163054,1901.88,0.838339
132917,131376,200364,91730.3,77579.9,162485,7554.16,0.844262
134104,116183,209962,134383,108246,165993,1796.16,0.845652
99574.2,103225,182443,95987.9,87235.6,158551,12466.4,0.860318
153368,136935,217684,117110,87857.8,166500,27624.9,0.876734
99974.2,102942,189881,65735.2,61667.6,143482,7950.71,0.879191
123905,117414,210635,103689,89716.6,159299,13233.3,0.886917
161884,132732,223130,177923,121321,184698,10013.2,0.887068
135239,129379,203212,135279,115386,168493,5772.37,0.889
79775.9,86697.6,160518,83748.2,82494.3,148029,16164,0.898127
100142,103253,178591,92902.3,84501.4,153472,3227.14,0.898391
93468.8,90713.1,177349,115478,100800,160077,10692.1,0.905292
126626,122259,195532,116927,105305,158843,9532.68,0.905486
84020.6,89338.3,184279,77736,72870.5,148440,4227.96,0.906989
146761,138882,211431,112699,88870.9,162598,20846.4,0.907074
152906,149546,209954,128994,107725,170082,5013.56,0.907546
102601,96054.6,182744,89407.1,79009.2,154473,6672.05,0.908782
122607,122599,194881,99505.4,87111.8,155655,408.376,0.910945
