"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
93387.2,79316.9,172503,146977,122230,159982,7822.84,0.20309
107160,102617,176760,80102.3,70375.7,146421,2691.75,0.207541
122093,115807,193242,77700.7,66204.1,155292,3371.68,0.212797
84695,86701.6,162081,82551.8,80268.7,141250,7490.83,0.214401
84267.7,86792.4,166104,63810.3,55982.2,141206,4581.34,0.215572
105703,93807.3,185855,96745.3,84240.5,151814,9527.63,0.22521
89033.9,76173.6,171358,75659.2,66566.2,146112,6484.58,0.225579
107095,101574,182301,93598.3,85893.8,152633,5305.1,0.226602
125988,121756,190713,103126,85937.6,155254,229.405,0.228352
80117.4,74887.6,161648,69073.9,58426.5,145004,9607.29,0.233359
96362.5,93331.1,177644,69703.3,64631.2,138628,624.488,0.235932
111329,103537,179541,91926.7,76432.8,156591,2328.02,0.23802
106003,103484,176214,90890.2,77845,150465,15346.1,0.238788
94225.9,94749.2,168610,72995.6,69324.5,140786,10061.8,0.243703
87596.1,89233.3,162851,79553.6,69649.8,141632,2564.19,0.245654
103963,105201,172996,91480,84451,143788,151.223,0.247589
95918.9,92850.8,179627,64415.5,60387.7,136370,3684.76,0.250574
106723,108248,188152,73719.7,68772.6,141356,6023.3,0.251212
95646.6,94076.5,169933,56251.6,51462.8,134148,13166.2,0.25222
96899.9,99905.6,175403,66262.8,62259,141973,5152.02,0.252327
126038,119854,191914,103141,85569.6,154270,17557,0.25272
123305,115790,189929,82140.4,67755.9,152793,1880.92,0.259836
61095.5,61066.2,151190,73706.5,70068.6,145430,2003.82,0.259867
103324,92439.6,169995,93307.3,75928.3,153658,18478.9,0.262121
111616,100678,193267,69709.4,57554.3,138482,2343.11,0.263131
66708.6,66320.9,153214,54290.4,52367.5,134622,4106.01,0.268005
127489,115728,197238,121918,101891,160165,1384.35,0.270049
92367.2,89524,172538,65575.8,58815.1,133932,2252.47,0.274148
86041.7,89910.2,159322,84886.3,81022.9,144680,2254.82,0.277058
105665,100152,176460,69974,60198.3,144433,8694.17,0.280184
110665,103773,177013,85740.5,70241.9,153581,549.483,0.281922
93857.6,90501.4,164560,84794.2,69203.2,153052,97.3992,0.283429
84550.2,85498,169196,54550.2,50475,131632,1199.86,0.285416
128705,116287,191574,133526,106120,162474,12018,0.286123
84941.7,86265.2,166003,54259.6,50134.9,136252,2029.85,0.294011
98078.1,98089.4,177815,100658,90133,149137,3110.33,0.298932
105480,101255,184661,72386.5,60709.7,143837,3108.48,0.301874
96682,97147.9,168726,82040.4,75114.6,146375,10867.5,0.303992
114545,101508,185846,153870,124240,166351,2729.34,0.30636
73798.7,74869.2,158120,86645.1,83977.9,145312,7251.22,0.314147
108918,105680,183288,104234,92507.1,152927,6707.84,0.316702
78207,77415.7,163025,51942.3,46700.4,134782,3425.22,0.31851
101550,98272.9,175319,79774.8,67338,148942,8950.63,0.321062
120392,116369,190248,101074,84107.1,152242,10241.9,0.323243
91890,89259.4,172060,82551.3,75495.8,148242,8102.4,0.324158
112404,108972,184250,60657.4,53496.7,138755,8226.97,0.324654
145114,129166,200195,134648,117074,160305,445.958,0.325116
87517.4,83952.4,171767,52028.4,49050,133863,3630.49,0.331038
72101.6,68375.4,152465,90668.8,82860.4,145924,13456.1,0.331581
88812.5,86106.3,168911,58585.7,51219.9,138742,2216.73,0.3322
102779,96720.5,184044,65568.4,60807.2,141757,8447.74,0.33753
155283,134556,206060,96478.1,71408.7,154491,8398.26,0.338093
100717,96697.7,172187,79857.1,70632.3,145809,1815.31,0.338574
83266.4,83299.9,162446,60692.2,55240.3,139437,2092.79,0.345756
75608.1,70129.4,168238,59817,56076.6,142362,2068.84,0.346824
82830.2,81041.2,160457,57657.4,53837,138889,2264.08,0.354235
114324,105235,192621,78861.2,67769.6,145344,3291.11,0.358419
130774,115647,197885,86279,68793.6,151754,11448.4,0.362637
117162,111624,185931,74505.2,62928,146567,1017.09,0.365289
97424.6,96179.2,182914,80257.7,72124.3,146096,1750.79,0.369524
85524.1,88802.9,168814,71768.3,64733.5,143433,1062.68,0.37157
92053.5,85730.3,165702,79644.3,70136.9,151007,17411.3,0.371996
92487.5,93783.9,164285,65998.9,62489.3,141226,3583.95,0.372067
103775,103527,183292,87629.4,80915.4,144953,4052.42,0.373909
78915,81307,158671,58543.7,55541.4,134243,10412.6,0.375672
91125.1,91227.4,172053,64700.2,58452.7,141074,5535.99,0.378977
95262.1,87449,174680,70505.7,60372.5,142138,2014.66,0.383088
97039.4,84149.9,183829,85682.5,72037.1,151456,2691.29,0.38371
102931,100539,182058,80179.8,74913.7,145968,8360.21,0.38805
99093,92437.4,175931,77618.9,71649.4,145513,9177.77,0.388417
114871,109783,192174,68436.2,60258.7,141446,3155.92,0.39077
89216.2,91434.3,175619,75655.3,70525.3,150918,6401.67,0.393311
96379,96579,168367,79361.7,72979.1,144538,7248.51,0.393704
99523.7,100611,178499,74846.5,69217.7,142304,4880.82,0.395582
119992,115693,188601,77776.6,66122.3,144859,3349.9,0.396544
128137,115462,199225,84766.8,68150.3,156002,15416,0.39685
121739,111879,191982,91041.4,77866.9,152040,6099.07,0.397582
86771.9,86740.1,159513,65098.1,58541.3,137964,8413.58,0.400546
82374.3,84094.8,166205,71332.2,64194.1,143803,7625.61,0.407209
80791.8,79763.7,165874,71373.9,69764.8,139619,1652.06,0.407458
106804,97110.8,186016,71780.2,66124.2,147702,4885.43,0.408186
83451,82612.1,158684,80520.9,72319.8,146276,13087.9,0.408874
78970.5,80959.6,155389,56948.6,53735.8,136064,81.1639,0.4097
76158.4,75547.9,154794,66781.8,64551.6,138605,2100.2,0.413652
90751,83377.3,167266,74370.3,63609.6,147745,60.5131,0.413883
71972.7,74501.4,154705,51291,51071.8,124910,10883.8,0.414363
119100,114527,192591,84084.8,69452.9,149481,6111.72,0.426099
126748,108318,192053,109355,85671.1,161839,9482.72,0.42781
120308,109817,196023,93103.9,79785.4,152686,6081.81,0.42821
100189,100580,182103,59987.5,55182,133615,10117.8,0.429025
92366.1,91764,168121,78063.1,70266.8,144811,804.049,0.436106
129212,121497,197152,122412,111067,154165,15244,0.436807
84074.8,84698.5,167787,63720.4,58894.7,134321,628.238,0.443889
118986,103688,190348,144561,114066,171909,5385.39,0.444774
99342.1,90107.2,186701,63597,51416.6,141077,906.075,0.445426
78707.2,77788.4,162371,58617.6,53641,139832,5159.83,0.452652
118103,97322.3,192705,90680.9,76820.7,157878,6224.95,0.452973
120779,115272,190198,95753.6,83562.9,148714,1044.34,0.454492
134458,119924,202729,132231,100727,162743,9017.73,0.456509
93146.1,89477.3,178800,100075,82157,155447,3804.49,0.457184
92973.9,86293,169246,77598.7,64288.6,148306,331.026,0.457567
96047.6,89816.9,178799,79799.3,67650,150079,3310.5,0.459695
84579.5,85189.9,159074,72603.6,68307.5,143361,11346.4,0.46636
112107,106299,184000,103054,89388.2,152735,2006.08,0.467003
79341.2,84746.1,159556,73315.1,68724.6,144021,3151.31,0.469374
82198.3,81954.5,162694,64825.3,61856,134361,2874.06,0.470027
93978.3,94919.6,175416,77386,74441.3,141996,2896.38,0.470336
141294,125633,204333,117774,95904.1,160465,5506.75,0.472707
98596.7,95510.1,164903,72434.9,65832.4,145137,2433.88,0.47274
94469.9,93349.1,177174,65980.1,60048.3,141841,5009.01,0.482031
101284,99316.1,176642,86753.4,72289.4,150291,468.587,0.482615
79178.9,82264.6,157630,66011.6,60570.6,142482,10056.7,0.483907
88419.6,89219.7,165076,74446.6,69652,143819,5588.4,0.483995
103439,85516.6,186651,91509.6,68966,158155,8742.61,0.484681
95896.6,100550,182116,60287.4,58641,135534,10340.8,0.486162
102139,99393.3,171684,93704.9,80619.4,151720,3295.99,0.487685
131801,120334,196888,106340,84179.1,158748,3318.54,0.489918
99925,95677.2,179492,67601.5,59665.3,138236,1290.14,0.49077
87618.2,83256.6,167839,89537.6,78749.8,149120,3448.44,0.494327
91478.4,90550.9,168656,69473.7,59230.6,145407,7535.06,0.494962
85308.2,87163.6,161181,64911.7,60811.7,137887,3304.31,0.496454
69368.1,61977.2,158497,89060.3,77742.8,152044,2835.75,0.501889
129016,115932,184382,98545.1,78026.1,156159,743.774,0.503316
113051,106166,189210,116267,109620,153343,2513.9,0.503948
96304.3,90745.7,177402,88728.9,81719.3,148267,4859,0.507808
80468.8,79368.1,157931,89034.9,80739.2,146024,360.35,0.508689
101244,93353.8,181386,98588.7,79435.8,152976,2919.16,0.509477
103496,101063,183519,79110.4,72950.1,146268,4779.52,0.511257
89992,82916.5,176399,58234.5,49495.2,135742,438.369,0.512539
150394,135845,207726,132989,104605,165658,574.605,0.514521
70435.6,71127.2,156549,62306.4,59595.9,135989,2684.61,0.51606
90162.5,87990.5,169992,84284.2,75975.8,145107,7052.82,0.516904
80188.9,79652.7,160032,52464.5,48094.7,136613,684.809,0.519767
116603,108418,183357,74028.5,64519.7,146368,2246.23,0.526565
96650.9,90790.6,169382,70719.8,60667.9,148194,4994.87,0.536205
124936,112312,196513,109666,88152.9,154918,6569.39,0.537702
69293.3,72525,155015,52014.6,49722.8,128089,5932.48,0.541072
110834,112321,185730,86233.7,77911.2,146299,5006.03,0.541479
128716,108995,190143,121888,91965.5,164109,6365.75,0.549295
107474,106243,187014,74460,63648.7,144399,5885.8,0.55134
96560,93205.7,177108,91343.8,81212.2,148385,8495.45,0.561007
81193.3,74434,168829,101515,84762.1,152005,10646.8,0.562249
91095.2,86874.6,172245,61461.4,55516.4,138646,1871.2,0.564418
110484,90051.2,189971,108557,89879.2,158050,21564.7,0.565006
99970.8,101665,183788,70630.5,63361.6,143863,5960.04,0.569343
112798,113532,182872,74849.6,65691.6,142759,10749.6,0.570258
93694.3,94992.4,165689,82709.2,74125.6,146253,4349.01,0.573209
95646.4,95565.9,170113,74318.6,65892.7,144897,4134.25,0.577941
