"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
144292,123641,216187,119774,94854.2,167456,126.515,1.26872
163145,156245,220711,118294,99933.9,168931,96.1503,1.27498
73304.2,82162.5,158130,61520.4,60375.9,141453,-3.24901,1.28457
117003,111875,200272,111483,94354.5,163010,51.4401,1.28486
116852,113959,199156,94164.8,88351.9,152752,69.0818,1.28511
76595.9,79739.6,159399,85404.4,77499.2,151934,25.1227,1.28577
113246,110206,196762,84880,73946.9,154756,23.4537,1.29364
163556,152395,216415,119722,96638.6,165749,55.7418,1.30146
142128,125830,213733,100430,82734.2,160430,81.4239,1.30942
116063,98383.7,208720,89239.9,76265,157989,44.3419,1.3153
146294,140249,202432,155452,133867,168210,12.4558,1.31782
124162,117893,196286,112842,101550,157593,35.1484,1.32693
129499,111420,210114,84425.3,66535.7,162821,33.0726,1.33846
122022,122662,198581,95842.4,85553.8,154618,5.29441,1.3438
127969,121975,203468,102532,91565.5,154997,14.6829,1.36179
115469,110744,202990,102463,89194.3,158161,0,1.36269
146567,142855,207447,131991,106007,169236,16.6907,1.37357
114767,118472,189133,119228,104961,161114,42.0899,1.38524
90314.5,98967.1,176526,110003,99409.3,158663,23.7315,1.4004
121324,102406,206003,120909,86322.3,168799,41.8986,1.41757
105569,102685,183332,129273,108378,162654,16.2337,1.44949
98039.9,106793,182712,78036.9,81425.5,141379,14.2276,1.45758
135996,118823,206323,108484,84817.9,165946,28.3359,1.49272
109529,101929,195761,102506,85056.2,163093,3.10756,1.49298
119058,119209,195940,95831.7,83898.4,157951,17.2396,1.49812
154260,127858,220063,149266,118568,174905,47.6152,1.50146
114916,113807,199742,123216,112509,160076,43.4785,1.51342
128774,132209,199094,100029,90444.8,158429,18.752,1.52259
93976.9,86401.8,180561,129716,112338,160366,33.4494,1.52269
71169.9,79175.7,163206,82720.2,84254.5,147768,42.7598,1.52956
113204,110734,186825,112617,90038.6,168044,37.8487,1.53674
146018,124395,216958,112388,92470.4,165846,50.8046,1.54119
104956,104046,192268,86365,78818,152212,42.4726,1.54994
91941.9,100811,183607,89120.7,86739.4,150637,0.487044,1.5547
130846,116899,205693,127621,97434.5,173119,42.6641,1.56103
126977,120556,196943,122325,99451.3,166606,31.6145,1.59254
117567,110893,193356,123363,101490,162417,11.1875,1.59678
123301,116738,199047,102382,80870,161977,47.3739,1.59888
99146.7,95393.3,187006,111226,93189.9,163364,24.7514,1.61567
78989.7,86362.3,165479,69947.4,67158.1,146467,10.3737,1.6266
118282,116733,194169,130499,110776,164681,50.2271,1.64383
116551,109694,198593,77086.8,64165.5,153622,17.6975,1.64662
95053.1,95948.2,176984,105745,97861.8,151850,25.6337,1.64828
147306,141292,211003,148906,123135,167393,94.8531,1.66137
115069,109412,203179,114821,98723.5,159036,26.4244,1.66886
108653,113802,192780,105190,93461,155355,23.2685,1.68124
110002,109648,193472,86625.2,81829.5,152714,5.16025,1.68155
105991,95950.3,192712,107848,82233.4,167714,11.776,1.69116
102875,108026,182628,95586.6,87914.6,155874,49.9739,1.69138
151260,130982,215866,133401,103513,168179,35.9998,1.69486
75277.5,76195.5,162712,78521.3,75711.4,146661,22.7135,1.73919
77166,76470.9,168557,98078.8,89753.9,152712,12.0478,1.76255
95655.3,105619,181888,86397.1,83528.4,145659,-1.083,1.78152
87638.5,95465.2,170120,78760.7,77401.9,147750,24.8442,1.78359
94226.4,100380,183129,77068.6,73461.7,144477,8.12003,1.78422
63727.7,63637.2,158692,130620,110117,165319,48.823,1.7981
138622,131501,210509,95313.6,81697.3,157249,-8.53907,1.81156
140178,132278,208489,137854,106643,169072,31.4736,1.81701
124056,120051,196126,122579,113260,164963,73.7362,1.82751
86974,87669.3,174776,138372,123164,162758,31.0042,1.84816
78950.9,84766.5,170502,52581.4,53281.4,135702,9.78682,1.85884
83400.8,83696.7,172886,73762.1,70748.8,149246,16.3708,1.88419
86867.9,92971,180767,72044.4,69916.5,146023,0.265601,1.89074
106111,98148.2,183494,149977,119548,168875,57.3571,1.89982
128377,128113,201250,128275,101695,165524,18.064,1.93917
122642,129378,199075,101385,91305.7,156530,26.9832,1.94249
120893,123986,192265,95149.7,84417.5,158099,20.0846,1.94666
85084.8,91771.8,169105,63788.4,62663.7,144092,32.696,1.97748
111004,98825,196386,113520,86214.3,164547,18.2474,1.98389
137232,128780,209576,116872,93564.4,165409,52.0722,1.99285
126469,113461,207131,130117,112364,168232,107.031,2.00568
88439,92256.7,172931,76870.1,70537.1,148963,15.1385,2.01125
87914,94705.9,183471,81834.3,77181.7,148264,-2.45759,2.01834
80207.8,87387.8,164456,64595.8,62850.2,145276,51.1002,2.0276
102041,106991,182023,75652,69432,152030,10.3737,2.0294
71905.6,74840.5,162266,83351.1,72674.4,155371,29.7855,2.0421
156033,144866,217832,103517,82910.6,162315,48.6779,2.04991
95170.8,93994.9,179608,70650,61279.7,151419,18.2933,2.06017
105789,89266.8,193692,135310,105371,170635,40.5138,2.06184
121522,121376,194187,127023,107839,164156,51.1543,2.06334
83761,92916.7,172934,91449.2,93281.5,148392,0.66427,2.08263
119359,118644,192977,119603,90972.5,167676,42.8077,2.11879
144260,130238,213616,98085.2,80380.5,155699,43.1909,2.1231
90281.1,93365.1,179253,94669.1,84391.2,155029,-0.20827,2.13859
119327,105443,190177,159431,123374,175035,716.282,2.15253
126380,116698,204486,98134.2,81639.7,157977,62.8096,2.18565
147046,128795,216763,141402,120029,170529,50.1925,2.21531
86668.2,87592.7,176695,81664.7,77285.6,149246,122.952,2.22784
124022,115181,195962,131019,103212,169425,41.5641,2.26328
131541,123321,207966,126138,104274,166578,32.1315,2.33254
101915,98899.4,187665,67228.4,58875.8,149276,20.5449,2.34218
145787,134680,210689,131173,113343,165169,34.2039,2.34313
105169,110635,183917,81167.6,74845.4,151160,25.4014,2.34617
94427.2,99776.5,182181,71349.5,67191.2,145795,19.9926,2.34716
100173,109408,185464,90534.2,83170.4,152606,6.90713,2.36237
169040,151891,219789,161597,127189,172379,78.255,2.37305
118932,111786,197530,114094,97101.9,166324,24.4731,2.38166
136300,126249,200671,139436,115991,166290,58.4482,2.39707
101510,107664,193416,79644.6,75535.4,146247,24.6122,2.43764
