"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","SELE","Time"
101314,103313,191512,81851.4,74780,151397,27.4959,6.13451
108622,102835,197321,85473.2,74463.3,155376,45.6876,6.13897
106844,108193,189399,96081.8,83146.2,156298,26.9366,6.18581
160650,138202,221254,100831,79863.5,162661,27.8224,6.22211
108978,103589,199746,112708,90901,165748,72.7362,6.22873
95919.8,97966.7,175442,98659.9,88442.7,155983,21.4666,6.3135
145016,105601,215590,114222,91065.7,169427,182.028,6.35176
160794,144962,218351,152635,125953,171609,89.7899,6.38532
178953,147737,223146,146959,102483,181090,185.03,6.39996
139212,110325,211059,162173,121754,178652,180.801,6.40481
100241,102410,186132,74842.8,65788.5,152474,11.5948,6.4762
97390,85381,183840,126076,110200,165566,75.1272,6.62787
106420,113303,188664,110041,102233,155771,76.6045,6.69388
121688,117792,193510,107660,86882.3,164562,29.9729,6.70459
122657,121547,199121,116233,103861,158963,33.3552,6.70623
177578,151077,220391,138651,106363,169591,412.427,6.71175
105555,109037,193721,89022.6,84645.8,148968,69.7347,6.75262
110868,97355.7,194408,147294,123857,175364,25.1692,6.76796
136731,125582,203575,171013,131917,179718,93.815,6.77172
147217,133171,208080,143506,122118,168578,253.477,6.78551
95799.8,78672.3,182442,163908,114269,179053,62.1557,6.81352
145086,130425,203316,143805,105426,175012,98.4411,6.81939
116093,113024,198718,118326,103561,172941,36.3786,6.8331
132383,124361,212530,106758,85691.2,169655,81.9879,6.83941
130771,115791,205950,162174,125651,179955,400.22,6.98794
125065,111604,203830,139653,105960,175649,34.7232,7.08111
144891,129382,221719,122968,93791.3,167843,37.8012,7.11773
153495,140569,213825,111049,80027.7,171787,27.5425,7.13075
160343,137246,223833,130333,95152,174876,36.7102,7.17577
88709.5,96132.7,183785,85635.8,89714.4,145333,78.2985,7.29973
139975,134319,207288,104533,90308.5,163478,85.1972,7.30247
77208,73276.8,176474,81996.4,72242.7,155779,19.3031,7.31739
142971,128833,217028,100241,78583,162421,17.3769,7.3691
165634,151863,220525,123379,99130.4,166278,19.3031,7.45071
140455,127575,219570,117703,81930.9,173561,24.4267,7.49424
121339,111500,208490,126490,102372,166332,9.47107,7.69623
158288,133441,215786,111295,83286.5,171649,74.6491,7.71877
103070,106355,192071,83699,83544.4,144262,1076.3,7.72183
134599,128150,208063,120097,96516.7,165151,20.7291,7.75178
137704,138065,207136,122660,99022.4,165091,250.736,7.76734
141524,130580,213509,121208,98714.7,168525,27.3094,7.83504
142888,137631,210512,88536.7,72486.1,159315,20.1767,7.8414
124070,110605,199468,112350,80904,171569,39.8464,7.88542
137904,117458,224609,122019,87373.8,177190,3.46395,7.90609
128736,128500,208017,111928,98558.8,162413,58.0118,7.91022
121031,125686,199220,70906.2,65625.5,145392,14.4097,7.92495
138270,124331,214315,137175,112313,169361,50.5665,7.9392
119077,118157,203922,96427,85816.8,165768,135.301,8.07806
104355,107041,188514,54323.9,53678.3,138277,876.608,8.09176
124228,120491,209661,96386.5,85303.9,158316,84.6336,8.12985
113270,112683,194025,122882,96739.9,168248,142.743,8.16609
140710,138202,206883,118151,93038.5,167998,60.3678,8.27591
116847,121716,193047,85676.3,75980.6,153102,28.8499,8.28902
108767,111688,192822,103372,85692.1,158937,31.8965,8.29474
155859,146829,221319,90602.6,75573.3,159818,51.3292,8.39915
154829,133474,217528,137388,106010,175231,74.4752,8.5869
138691,125854,205790,146886,120430,173215,76.7348,8.59823
110869,104468,189877,105396,91956.8,161643,76.3873,8.75433
100886,103687,187181,73811.6,63788,150564,33.9209,8.78911
111395,116995,189107,91309,85273,151753,25.355,8.80099
151316,142959,215633,139775,106652,172615,27.2628,8.83427
139858,135712,206313,129481,108103,168274,52.4219,8.89876
139030,133405,200750,108912,91873.7,159478,93.0795,8.94745
119630,130223,190305,92631.7,87297.9,150660,2.03992,8.96025
111445,114029,192625,96080.7,82542.3,156803,22.159,8.97732
145822,127897,211101,116886,86694.8,171517,50.518,8.98647
172388,141326,225091,142326,99644.5,179673,115.946,9.03918
122418,123936,203668,107028,100058,154979,51.1487,9.04186
127749,126597,205897,111257,102095,157903,84.2434,9.0521
176953,134858,225394,121179,87832.4,175365,61.8069,9.12141
79154.1,82880,163084,45952.2,44792.1,131889,493.891,9.13012
80278.8,82053.6,164819,100527,96639.8,155039,67.5582,9.13409
126288,131157,204639,99803.4,92186.9,155056,51.4166,9.14368
145841,126243,214363,169509,126229,179889,127.373,9.14445
135414,125579,208655,123659,92951.1,174356,232.413,9.16817
120162,114489,195448,80815.1,66669.2,160459,8.75008,9.30931
137896,131282,206167,117597,89090.7,171498,49.2742,9.37538
123013,119157,195907,117243,92832.1,167884,24.5658,9.40672
132706,125409,213360,110621,77869,172852,36.7102,9.41467
126778,107921,204088,129984,103896,179111,96.2368,9.42016
170857,154613,220047,139947,109915,174940,68.4725,9.44059
139975,128976,207610,133724,109455,168828,132.903,9.44778
160346,143319,213882,149583,113781,177211,85.0238,9.53938
144015,118231,211218,156506,107136,178794,990.199,9.58309
136608,126761,203066,130440,95636.4,172868,92.2141,9.59568
123793,113864,196559,149318,123114,169803,186.932,9.77277
104689,91605.4,193369,100964,80641.6,170056,17.0108,9.81802
124083,124176,200223,111746,99847.6,158999,413.539,9.87279
162622,134975,221733,144452,103490,177095,50.1786,9.90583
145459,138893,212570,131714,118671,162642,367.119,9.94967
125246,121403,202628,125665,109384,165141,81.1201,10.0176
165224,142277,223381,139101,98788.7,175335,106.341,10.0738
123085,99328.2,200954,135518,109610,176128,42.1377,10.2224
106358,106750,188629,95658.1,85699,157679,14.6829,10.272
112956,113364,196513,84541,79131.9,150375,63.3326,10.7983
88193.9,83612,168456,97206.9,83933.1,159045,102.026,10.8403
150271,137421,206992,167444,119223,179359,47.9531,10.9411
133533,136951,203128,114260,99084.4,160527,58.5791,11.0644
115273,98806.7,195290,149590,112921,176540,100.471,11.1074
122770,122703,200941,98009.4,85708.5,156045,28.5695,11.154
155283,145740,207384,160169,122787,174863,67.9065,11.2333
135103,123341,211095,96018.1,73970.8,163045,41.8986,11.2422
144250,135135,209897,136965,102773,171130,99.5211,11.2751
74205.8,82045.4,171604,82929.8,85718.8,144537,1383.5,11.3766
69028.9,72079.4,163361,83946.2,85551.6,148635,-21.8683,11.4886
79048.7,78540.4,172828,89012.8,80844.2,151266,37.7537,11.8108
150236,147175,207233,136906,120398,168335,49.21,11.8609
162123,148305,221632,170113,131117,174452,150.555,11.8852
123614,99462.6,203687,128717,109064,173168,49.1616,11.9259
141478,121231,215917,116284,90056.3,168459,57.7936,11.9431
122618,122453,200478,99023.1,87709.2,158403,13.7273,11.9517
112646,106830,199596,103351,80382.6,162950,155.925,11.99
147515,130956,211419,160879,129461,179108,92.2141,12.0564
162959,150667,216104,119981,95458.1,167632,190.774,12.0844
161438,145442,221386,139788,105449,173184,320.317,12.1472
153071,142125,215835,157169,132846,172211,67.2099,12.1721
113743,108764,190336,118192,101893,158725,1418.32,12.1937
74852.9,71940.8,165625,83254.2,75216.5,153199,35.4794,12.2179
160912,126580,222039,123310,101107,173557,492.392,12.3331
168392,134094,222974,135490,91708.7,181252,95.5882,12.3749
163373,145281,220749,167969,129464,175545,125.571,12.3923
142397,135612,217020,164767,133870,174293,66.5131,12.4021
88373.3,83077.1,175774,68323.7,64462.2,148148,85.7608,12.5045
130636,122082,202813,103098,86616.6,159712,76.0832,12.5209
115113,107472,203034,84387.7,69750.6,154629,49.9363,12.5598
107977,99396.9,189552,121896,103936,164705,61.3272,12.5767
130399,128693,203105,115102,100011,162037,63.5506,12.5797
93587.8,83325.4,178899,138937,119087,172083,57.7936,12.6534
132059,123961,201640,148340,119883,173024,616.687,12.7277
153730,142660,215742,148639,109407,178760,54.5627,12.8054
120139,123641,200113,111679,104628,169178,205.434,12.8257
126609,107107,210730,120435,95601.5,169340,70.8659,13.0357
130241,127942,203238,100523,85083,161295,32.743,13.1016
143559,119796,213300,139574,113476,180056,250.528,13.1422
98620.3,101741,190810,87305.6,86513.1,145868,43.4305,13.1771
144771,134863,218343,107958,83078.8,169018,59.1027,13.2049
165627,143457,218696,174844,133961,174859,171.141,13.2471
106559,111668,191932,89669.3,80805.8,155440,16.9194,13.2838
126647,125967,201166,100750,89992.2,156274,9.69659,13.3774
