"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","PE-A","Time"
84067.8,84948.3,168494,82062.6,76950.6,146218,15538.5,0.00977082
102730,103252,173014,103665,95347.2,152289,28125.8,0.0101177
137645,127512,199412,123959,101097,163203,45889.9,0.0103173
125647,107317,191317,85465.1,64958,157278,18911.1,0.0116875
102089,86203.6,189241,105483,95292.4,160296,44487.2,0.0134955
109304,108800,181991,71132.3,66731.9,144173,19226.7,0.014326
144348,127527,195942,121978,98804.1,165313,29449.1,0.0171045
89374.4,91027.6,170387,66145.6,62948.8,144215,32660.9,0.0200481
105792,105387,189750,92533.4,83350.3,152586,35768.2,0.0217276
97921.7,100422,176015,75091.7,68846.7,145163,18945.7,0.022157
83495,84647.9,169996,85800.1,79704.5,146834,15598.2,0.0268538
104223,100480,180229,93517.9,77042.4,158935,7740.73,0.0273495
78983.9,81778.2,162959,63708.5,61356.8,141193,20739.7,0.0321967
103770,98769,171919,83444.6,71166.6,152458,23366.9,0.038499
121722,113830,193293,95339,83073.5,152188,18748.2,0.0391992
112613,112241,182106,87062.5,76787.7,148224,31449.6,0.043872
77840.5,76355.6,159815,82982.2,74452.7,149017,19279.5,0.0457055
91775.2,90978.4,169598,76989.3,70439.2,144162,13508.5,0.0546031
124770,112899,188620,110989,86534.7,165832,16380.5,0.0581357
104850,96485.5,182126,71099.1,58716.2,148070,24606.3,0.0593721
123373,112709,185875,110914,89303.6,162987,11075.7,0.0599124
98974,100970,179117,78080.5,69481.4,146313,9054.59,0.0708285
106950,106742,186347,95915.6,84872.9,152791,22011.8,0.0765116
98123.9,95934.9,183274,101765,88839.8,152540,28319.8,0.0768827
78885.1,77999.7,164949,80397.8,75393.1,144744,15685.3,0.0768994
101815,92442.6,180139,69631.9,59087,145160,18372.1,0.0805987
71643.9,72126.8,157590,56629.3,55171.4,134908,9999.36,0.0845018
109647,111396,177197,72438.8,64810.7,145929,15478.7,0.0894165
80789.1,83951,159759,72229.9,65977.2,145303,20832.4,0.0899394
64106.3,63058.2,152101,51883.4,48706.8,139052,10147,0.0941543
144303,128311,205047,125916,103861,163269,36205.1,0.0944954
122606,104633,193964,109248,93632.2,160070,19563.6,0.0959558
75124.1,78221.5,155826,95882.4,89228.8,151117,36438,0.102037
142466,129306,200376,115422,95683.9,158749,22462,0.103418
97364.6,86793.2,178880,71914.8,61751.3,147372,25056.8,0.111114
115501,110894,188610,114819,98408.4,158745,20710.7,0.114615
100121,93195.6,174769,70033,62359.6,145085,24790.4,0.11828
87049,85968.8,166367,90979.7,84589.4,150455,12474.5,0.125316
100119,97401.1,175111,100007,84708,156096,10243.9,0.127096
119535,115048,196497,97540,80556.7,154453,34976.1,0.127808
111924,106124,188504,106579,86396.8,158360,35274.5,0.127851
99385.7,94894.5,175730,108511,100925,152022,19677.1,0.135107
132867,121686,199408,112683,93896.4,162051,58731.5,0.138811
135630,128925,203565,94447.2,74305.9,159992,25814.7,0.139017
112531,109722,179490,91505.2,80403.7,152305,32439.4,0.140042
123041,117765,196684,101037,85957.6,152051,18723.1,0.144255
99914.1,105018,176333,70228.7,66326.7,145282,8712.6,0.146454
99911.2,95840.5,175993,93688.8,82633,151160,18517.9,0.147414
81395.5,85462,167862,63626.5,61439.2,141880,14096.5,0.149164
108070,97565.8,187253,86646.3,67114.3,157932,16303.7,0.149612
89435.4,90150,170670,80020.5,73087.5,147838,14480.6,0.155621
117968,109403,192118,101802,80400.2,162187,51007.5,0.156368
81509.7,86898,160633,71265.9,65626.6,146466,37112.6,0.166839
85645.6,87725,163253,64804.7,60644.2,139112,12996.3,0.166983
93035.3,89746.8,168664,73092.3,63105.3,149416,20041.8,0.167359
121536,112664,189130,118085,97660,160153,17300.1,0.173113
137244,113955,197097,102903,76466.7,164584,15516.4,0.181367
101339,100083,178935,76881.2,65768.2,148011,13295,0.182961
112535,104489,181498,103027,89281.2,157839,8230.36,0.187848
67159.1,69299.4,155519,84219.7,83332.5,145629,11238.4,0.192452
83348.9,76187.4,168350,81877.5,72049.9,150257,36107.3,0.204226
