"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","FITC-A","Time"
80485.7,88656,172199,51630.3,58420.9,134615,35779.6,3.1023
150096,140726,207334,115179,110342,155829,90424.5,3.11333
105494,107861,186713,86124,89221.7,148409,79232.8,3.11543
98123,98813.1,184471,80444,85998.3,145122,61709.8,3.14069
67292.3,74858.2,151612,46571.8,54110.3,133883,28266.7,3.15588
100476,99490,181674,83723.2,89910.7,145882,69646.1,3.17588
121667,119723,191999,70805.6,73727.4,145436,114457,3.17767
95867.8,101471,172861,70987.9,73751.5,142582,54327.4,3.18588
104711,104602,179288,82480.1,80580.7,148786,96279.2,3.28226
77660.7,82702.9,163128,62448.1,67700.6,139641,41623.8,3.29551
111783,117043,190422,91726.6,89665.8,151675,57532.9,3.30811
68423,75856,152020,66795.5,79422,134722,35298.7,3.30923
104048,109956,189076,71052.7,78786.7,142480,55387.4,3.33992
96153.6,92906.7,180190,110165,105519,155397,127872,3.35406
103196,102834,184088,83216.3,83025.5,147926,91242.5,3.35931
89805.1,85647.2,175969,72005.7,73874.6,145370,63321.3,3.39351
105052,108400,180273,67613.6,67527.5,146415,56293.6,3.40454
80554.8,84321.3,172861,78372.5,89060.1,140334,75055.3,3.41793
93510.4,101821,177503,52949.3,58705.8,133663,57489,3.4316
108813,109499,184802,86658.2,89700.8,144299,61586.4,3.43222
64177.2,69924,150882,38210.6,45185.7,124215,37300.1,3.44576
133749,134409,200363,101680,106686,151622,89233.3,3.4568
62946.5,70126.1,152336,44409.9,50894.4,132375,26025.4,3.4781
89240.8,94407.4,168175,73115.7,80032.4,144248,45055,3.48389
98269.8,106621,181091,62374.6,68676,136133,74188.2,3.48972
101106,103486,184595,65077.6,69262,139325,86048.3,3.50131
99908.6,95848.9,186126,76708.4,79225,147951,67295.6,3.58772
68756.4,73716.1,152696,47513.7,54068.1,134125,29838.7,3.60812
126459,112895,200210,111151,102746,158464,88470.3,3.63905
58934.1,63294.1,152387,52953.8,60892,131894,8555.04,3.64184
68652.2,76843.9,155256,73308.4,85491.9,138470,32834.9,3.68205
97367.8,99324.2,175015,76396.2,76815.3,145983,111638,3.68802
117202,114565,192409,69372.7,73451.6,141553,88157.7,3.72676
106232,104650,190245,115261,117336,153295,113232,3.79089
84432.6,91487.6,170757,69757.4,76773.7,140884,95946.3,3.80728
78144.6,84185.6,159490,67840.6,81090.4,137158,35753.3,3.81015
100595,99728.2,176168,70881.6,75444.2,143252,72387.6,3.81791
87788.9,94694.6,165965,51830.6,56758.7,133889,98633,3.82575
82103.9,82912.1,163491,72528,78785,141375,88295.9,3.85485
110210,109581,187173,72910.8,72556.3,143768,66329.6,3.89853
98511.6,97376.4,182853,81080,75887,152233,35507.4,3.91451
93292.5,97841.3,173287,101614,112172,148415,85685.8,3.9386
90643.4,96854.2,175363,86327.4,93877.7,144576,53959.6,3.94367
73484.7,79978.9,157624,46354.6,54112.9,128836,42939.2,3.94394
76420.9,82625.9,158695,44661.5,51760.1,126364,37536.5,3.98994
108220,108952,190747,103731,105493,154975,100696,4.02105
89203.8,86114.6,179503,91547,107206,148140,67207.9,4.04809
99859.8,95129.2,188797,99888,94130.4,155120,57141.5,4.05993
99851.8,95883.7,182670,120009,118230,154825,121106,4.06892
93552.3,92545,179062,106765,112681,155905,84142,4.07099
72810.1,72948.5,162965,83432.4,89110.2,145304,36503.1,4.0771
