Samples	baseline	FACS_Top
HI.5102.002.NGS-Lib-Rev--3.VP64_ROS_Top_109_R1.fastq.gz	1	1
HI.5102.002.NGS-Lib-Rev--4.VP64_ROS_Bottom_110_R1.fastq.gz	1	0
HI.5102.003.NGS-Lib-Rev--1.VP64_ROS_Top_113_R1.fastq.gz	1	1
HI.5102.003.NGS-Lib-Rev--2.VP64_ROS_Bottom_114_R1.fastq.gz	1	0
HI.5102.004.NGS-Lib-Rev--3.VP64_ROS_Top_125_R1.fastq.gz	1	1
HI.5102.004.NGS-Lib-Rev--4.VP64_ROS_Bottom_126_R1.fastq.gz	1	0
HI.5102.005.NGS-Lib-Rev--1.VP64_ROS_Top_129_R1.fastq.gz	1	1
HI.5102.005.NGS-Lib-Rev--2.VP64_ROS_Bottom_130_R1.fastq.gz	1	0
