Samples	baseline	FACS_Top
HI.5143.007.NGS-Lib-Rev--1.Krab_ROS_Top_167_R1.fastq.gz	1	1
HI.5143.007.NGS-Lib-Rev--2.Krab_ROS_Bottom_168_R1.fastq.gz	1	0
HI.5143.008.NGS-Lib-Rev--3.Krab_ROS_Top_169_R1.fastq.gz	1	1
HI.5143.008.NGS-Lib-Rev--4.Krab_ROS_Bottom_170_R1.fastq.gz	1	0
HI.5143.008.NGS-Lib-Rev--5.Krab_ROS_Top_171_R1.fastq.gz	1	1
HI.5143.008.NGS-Lib-Rev--6.Krab_ROS_Bottom_172_R1.fastq.gz	1	0
HI.5143.008.NGS-Lib-Rev--7.Krab_ROS_Top_173_R1.fastq.gz	1	1
HI.5143.008.NGS-Lib-Rev--8.Krab_ROS_Bottom_174_R1.fastq.gz	1	0
