Samples	baseline	FACS_Top
HI.5041.004.NGS-Lib-Rev--3.VP64_Top_Ca_87_R1.fastq.gz	1	1
HI.5041.004.NGS-Lib-Rev--4.VP64_bottom_Ca_88_R1.fastq.gz	1	0
HI.5042.004.NGS-Lib-Rev--7.VP64_Top_Ca_51_R1.fastq.gz	1	1
HI.5042.004.NGS-Lib-Rev--8.VP64_bottom_Ca_52_R1.fastq.gz	1	0
HI.5102.003.NGS-Lib-Rev--3.VP64_CA_Top_117_R1.fastq.gz	1	1
HI.5102.003.NGS-Lib-Rev--4.VP64_CA_Bottom_118_R1.fastq.gz	1	0
HI.5102.004.NGS-Lib-Rev--1.VP64_CA_Top_165_R1.fastq.gz	1	1
HI.5102.004.NGS-Lib-Rev--2.VP64_CA_Bottom_122_R1.fastq.gz	1	0
