Samples	baseline	FACS_Top
HI.5042.002.NGS-Lib-Rev--1.VP64_Top_Icam_65_R1.fastq.gz	1	1
HI.5042.002.NGS-Lib-Rev--2.VP64_bottom_Icam_66_R1.fastq.gz	1	0
HI.5042.005.NGS-Lib-Rev--5.VP64_Top_Icam_57_R1.fastq.gz	1	1
HI.5042.005.NGS-Lib-Rev--6.VP64_bottom_Icam_58_R1.fastq.gz	1	0
HI.5042.006.NGS-Lib-Rev--1.VP64_Top_Icam_81_R1.fastq.gz	1	1
HI.5042.006.NGS-Lib-Rev--2.VP64_bottom_Icam_82_R1.fastq.gz	1	0
HI.5042.007.NGS-Lib-Rev--3.VP64_Top_Icam_89_R1.fastq.gz	1	1
HI.5042.007.NGS-Lib-Rev--4.VP64_bottom_Icam_90_R1.fastq.gz	1	0
