Samples	baseline	FACS_Top
HI.4934.008.NGS-Lib-Rev--1.Cas_Top_Icam_55_R1.fastq.gz	1	1
HI.4934.008.NGS-Lib-Rev--2.Cas_bottom_Icam_56_R1.fastq.gz	1	0
HI.5042.005.NGS-Lib-Rev--7.Cas_Top_Icam_67_R1.fastq.gz	1	1
HI.5042.005.NGS-Lib-Rev--8.Cas_bottom_Icam_68_R1.fastq.gz	1	0
HI.5102.005.NGS-Lib-Rev--5.Cas_ICAM_Top_97_R1.fastq.gz	1	1
HI.5102.005.NGS-Lib-Rev--6.Cas_ICAM_Bottom_98_R1.fastq.gz	1	0
HI.5102.005.NGS-Lib-Rev--7.Cas_ICAM_Top_103_R1.fastq.gz	1	1
HI.5102.005.NGS-Lib-Rev--8.Cas_ICAM_Bottom_104_R1.fastq.gz	1	0
