Samples	baseline	FACS_Top
HI.5143.004.NGS-Lib-Rev--3.Krab_NO_Top_153_R1.fastq.gz	1	1
HI.5143.004.NGS-Lib-Rev--4.Krab_NO_Bottom_154_R1.fastq.gz	1	0
HI.5143.004.NGS-Lib-Rev--7.Krab_NO_Top_149_R1.fastq.gz	1	1
HI.5143.004.NGS-Lib-Rev--8.Krab_NO_Bottom_150_R1.fastq.gz	1	0
HI.5143.005.NGS-Lib-Rev--7.Krab_NO_Top_157_R1.fastq.gz	1	1
HI.5143.005.NGS-Lib-Rev--8.Krab_NO_Bottom_158_R1.fastq.gz	1	0
HI.5143.006.NGS-Lib-Rev--3.Krab_NO_Top_161_R1.fastq.gz	1	1
HI.5143.006.NGS-Lib-Rev--4.Krab_NO_Bottom_162_R1.fastq.gz	1	0
