Samples	baseline	FACS_Top
HI.5041.004.NGS-Lib-Rev--1.VP64_Top_Vcam_95_R1.fastq.gz	1	1
HI.5041.004.NGS-Lib-Rev--2.VP64_bottom_Vcam_96_R1.fastq.gz	1	0
HI.5042.004.NGS-Lib-Rev--3.VP64_Top_Vcam_69_R1.fastq.gz	1	1
HI.5042.004.NGS-Lib-Rev--4.VP64_bottom_Vcam_70_R1.fastq.gz	1	0
HI.5102.001.NGS-Lib-Rev--1.VP64_VCAM_Top_99_R1.fastq.gz	1	1
HI.5102.001.NGS-Lib-Rev--2.VP64_VCAM_Bottom_100_R1.fastq.gz	1	0
HI.5102.001.NGS-Lib-Rev--3.VP64_VCAM_Top_101_R1.fastq.gz	1	1
HI.5102.001.NGS-Lib-Rev--4.VP64_VCAM_Bottom_102_R1.fastq.gz	1	0
