Samples	baseline	FACS_Top
HI.5042.004.NGS-Lib-Rev--5.VP64_Top_NO_45_R1.fastq.gz	1	1
HI.5042.004.NGS-Lib-Rev--6.VP64_bottom_NO_46_R1.fastq.gz	1	0
HI.5042.005.NGS-Lib-Rev--1.VP64_Top_NO_75_R1.fastq.gz	1	1
HI.5042.005.NGS-Lib-Rev--2.VP64_bottom_NO_76_R1.fastq.gz	1	0
HI.5042.006.NGS-Lib-Rev--3.VP64_Top_NO_77_R1.fastq.gz	1	1
HI.5042.006.NGS-Lib-Rev--4.VP64_bottom_NO_78_R1.fastq.gz	1	0
HI.5102.002.NGS-Lib-Rev--1.VP64_NO_Top_105_R1.fastq.gz	1	1
HI.5102.002.NGS-Lib-Rev--2.VP64_NO_Bottom_106_R1.fastq.gz	1	0
