Samples	baseline	FACS_Top
HI.5042.007.NGS-Lib-Rev--5.Cas_Top_Vcam_79_R1.fastq.gz	1	1
HI.5042.007.NGS-Lib-Rev--6.Cas_bottom_Vcam_80_R1.fastq.gz	1	0
HI.5102.001.NGS-Lib-Rev--5.Cas_VCAM_Top_83_R1.fastq.gz	1	1
HI.5102.001.NGS-Lib-Rev--6.Cas_VCAM_Bottom_84_R1.fastq.gz	1	0
HI.5102.002.NGS-Lib-Rev--7.Cas_VCAM_Top_85_R1.fastq.gz	1	1
HI.5102.002.NGS-Lib-Rev--8.Cas_VCAM_Bottom_86_R1.fastq.gz	1	0
HI.5102.004.NGS-Lib-Rev--7.Cas_VCAM_Top_93_R1.fastq.gz	1	1
HI.5102.004.NGS-Lib-Rev--8.Cas_VCAM_Bottom_94_R1.fastq.gz	1	0
