Samples	baseline	FACS_Top
HI.5102.008.NGS-Lib-Rev--1.Krab_VCAM_Top_135_R1.fastq.gz	1	1
HI.5102.008.NGS-Lib-Rev--2.Krab_VCAM_Bottom_136_R1.fastq.gz	1	0
HI.5143.004.NGS-Lib-Rev--1.Krab_VCAM_Top_151_R1.fastq.gz	1	1
HI.5143.004.NGS-Lib-Rev--2.Krab_VCAM_Bottom_152_R1.fastq.gz	1	0
HI.5143.005.NGS-Lib-Rev--1.Krab_VCAM_Top_159_R1.fastq.gz	1	1
HI.5143.005.NGS-Lib-Rev--2.Krab_VCAM_Bottom_160_R1.fastq.gz	1	0
HI.5143.006.NGS-Lib-Rev--5.Krab_VCAM_Top_163_R1.fastq.gz	1	1
HI.5143.006.NGS-Lib-Rev--6.Krab_VCAM_Bottom_164_R1.fastq.gz	1	0
