Samples	baseline	FACS_Top
HI.4824.004.NGS-Lib-Rev--5.VP64_Top_SELE_R1.fastq.gz	1	1
HI.4824.004.NGS-Lib-Rev--6.VP64_Bottom_SELE_R1.fastq.gz	1	0
HI.4934.002.NGS-Lib-Rev--7.VP64_Top_SELE_17_R1.fastq.gz	1	1
HI.4934.002.NGS-Lib-Rev--8.VP64_bottom_SELE_18_R1.fastq.gz	1	0
HI.5042.002.NGS-Lib-Rev--5.VP64_Top_SELE_23_R1.fastq.gz	1	1
HI.5042.002.NGS-Lib-Rev--6.VP64_bottom_SELE_24_R1.fastq.gz	1	0
HI.5042.002.NGS-Lib-Rev--7.VP64_Top_SELE_29_R1.fastq.gz	1	1
HI.5042.002.NGS-Lib-Rev--8.VP64_bottom_SELE_30_R1.fastq.gz	1	0
