UMAP1	UMAP2	Cas_variant	filename_prefix	FACS_group
4.53944807876387	-7.67401121701395	VP64	HI.5042.005.NGS-Lib-Rev--2.VP64_bottom_NO_76	Bottom
5.28787343575157	-7.67823674312267	VP64	HI.5042.005.NGS-Lib-Rev--5.VP64_Top_Icam_57	Top
5.3041654831607	-7.67603376719005	VP64	HI.5042.005.NGS-Lib-Rev--6.VP64_bottom_Icam_58	Bottom
2.94297517886352	3.82779955544355	CAS9	HI.5042.005.NGS-Lib-Rev--7.Cas_Top_Icam_67	Top
1.07759513912697	5.09237199304486	CAS9	HI.5042.005.NGS-Lib-Rev--8.Cas_bottom_Icam_68	Bottom
3.81033472615721	-5.62627955227605	VP64	HI.5042.006.NGS-Lib-Rev--1.VP64_Top_Icam_81	Top
4.10760672409654	-7.69992959069243	VP64	HI.5042.006.NGS-Lib-Rev--2.VP64_bottom_Icam_82	Bottom
4.22690641928422	-7.16532900128067	VP64	HI.5042.006.NGS-Lib-Rev--3.VP64_Top_NO_77	Top
3.75898897794011	-7.2325468358087	VP64	HI.5042.006.NGS-Lib-Rev--4.VP64_bottom_NO_78	Bottom
-6.64158906421535	2.13467224575378	KRAB	HI.5042.006.NGS-Lib-Rev--5.Krab_Top_Icam_73	Top
-4.31596893378582	2.59564969511599	KRAB	HI.5042.006.NGS-Lib-Rev--6.Krab_bottom_Icam_74	Bottom
3.8749711880542	-5.55775200218762	VP64	HI.5042.007.NGS-Lib-Rev--3.VP64_Top_Icam_89	Top
3.18547547998344	-6.94650000365679	VP64	HI.5042.007.NGS-Lib-Rev--4.VP64_bottom_Icam_90	Bottom
0.592482875277224	5.42491125254453	CAS9	HI.5042.007.NGS-Lib-Rev--5.Cas_Top_Vcam_79	Top
3.02504475485549	3.48861305282902	CAS9	HI.5042.007.NGS-Lib-Rev--6.Cas_bottom_Vcam_80	Bottom
-4.39734663352511	2.68095925434611	KRAB	HI.5042.007.NGS-Lib-Rev--7.Krab_Top_Ca_71	Top
-4.28292402612299	2.44479000752251	KRAB	HI.5042.007.NGS-Lib-Rev--8.Krab_bottom_Ca_72	Bottom
3.44401476807516	-6.0098617111017	VP64	HI.5102.001.NGS-Lib-Rev--1.VP64_VCAM_Top_99	Top
3.45822051841073	-7.11672879245987	VP64	HI.5102.001.NGS-Lib-Rev--2.VP64_VCAM_Bottom_100	Bottom
3.9711087582097	-6.33523775849884	VP64	HI.5102.001.NGS-Lib-Rev--3.VP64_VCAM_Top_101	Top
4.28803418819666	-7.44505523100319	VP64	HI.5102.001.NGS-Lib-Rev--4.VP64_VCAM_Bottom_102	Bottom
1.29868074084694	6.09607858449423	CAS9	HI.5102.001.NGS-Lib-Rev--5.Cas_VCAM_Top_83	Top
4.26330034844603	3.37375702252386	CAS9	HI.5102.001.NGS-Lib-Rev--6.Cas_VCAM_Bottom_84	Bottom
3.75837964394835	-6.97666091152477	VP64	HI.5102.002.NGS-Lib-Rev--1.VP64_NO_Top_105	Top
3.18975026233319	-6.29343627599761	VP64	HI.5102.002.NGS-Lib-Rev--2.VP64_NO_Bottom_106	Bottom
3.82257418074698	-7.34179013898692	VP64	HI.5102.002.NGS-Lib-Rev--3.VP64_ROS_Top_109	Top
3.84183274122229	-6.87284841243491	VP64	HI.5102.002.NGS-Lib-Rev--4.VP64_ROS_Bottom_110	Bottom
1.41200392663902	5.97239073949053	CAS9	HI.5102.002.NGS-Lib-Rev--7.Cas_VCAM_Top_85	Top
